rhyme scheme	stanza
ABCB	"I larmende opptog,
halvgal av vinens brann,
gjennom gatenes mylder
han styrer sitt fnysende spann."
ABA	"Jupiter selv!
Sku hans bekransede panne,
o jord, og skjelv!"
ABCDEC	"Skarene danser som ville
omkring ham
til paukenes klang. 
Med glødende sanser de fyller
med liljer og roser
hans vogn og hans fang."
ABCDEFD	"Men se!
Der er kvinner
som bøyer sitt hode
og sørger.
Der er menn
som stanser og tier
og spørger."
ABCDED	"O ve!
Der hviskes i lønn
av villige tunger.
Skal herskerens makt
bøye seg rolig og tåle
svermernes skumle forakt?"
AABB	"Da hender det en yndig sommernatt,
at Romas barn av søvne våkner bratt.
De våkner til så grenseløs en jammer,
de våkner for å se sin by i flammer."
ABBA	"De griske luer flyr fra hus til hus,
hvor øyet ser, det gnistrer, herjer, brenner
fra dag til dag  og redslen ikke ender
før byens største del er lagt i grus."
ABACBDCD	"Det svirrer rundt de underligste rykter
om skyld og ansvar for så stor en mén.
Man tviler og man tror  man hvisker, frykter,
og mer enn ord forteller blikk og miner,
snart samler alt og alle seg om én.
Man visste godt hvor keiseren holdt til
mens folkets eie lagdes i ruiner.
På slottets tak han drev sitt narrespill."
ABBA	"Der stod den gale, usle ødeland
i gjøglerstas og med bemalte kinner,
og moret seg blandt skjøger og slavinner,
og spilte luth og sang om Trojas brann."
AABB	"Og nå, når folkets mistro først er vakt,
nå søker keiseren av all sin makt
å gjøre godt, å hjelpe og å lindre.
Dog intet mer kan folkets harme hindre."
ABAB	"Men da får uslingen en djevelsk tanke,
som vender strømmen, gjør hans stilling sterk,
og bygger ham en sikker redningsplanke:
Den store brann, den er de kristnes verk!"
ABBA	"Og deres gjerning krever billig bod.
Så slippes koblet løs, og byttet jages,
fra hjem og arne menn og kvinner drages.
Og Rom blir drukken av de kristnes blod."
AABCBC	"Der går en tid, og sorgens bud fra Rom
på ryktets vinger spredes viden om.
Det er det første, skingrende signal
til striden som skal verdens troner ryste,
begynnelsen til all den ve og kval
som kristne hjerter i sitt grep skal kryste."
AABCC	"Og hvor som helst til by og land det rekker,
de kristnes flokk det engster og forskrekker,
og varsler allesteds om død og dom.
Det når og Paulus hvor han ferdes nu,
og fyller ham med smerte og med gru."
AABCCB	"Hans brødres nød ei gir hans tanker hvile.
Så gjerne vil til deres hjelp han ile.
Men hvor han er, sin kraft han ikke sparer.
Han trenges overalt — hans klare ånd,
hans skarpe blikk, hans sterke, milde hånd;
ti Kristi rike truer mange farer."
AABCBC	"Tilsist dog river han seg løs med hast
for Rom å nå foruten ro og rast.
Men denne gang ei noen broderskare
ham møter halvveis på hans romerferd.
Akk nei  ei noen løpe vil den fare,
det var å blotte seg for ild og sverd."
AABCCB	"Og Paulus selv om føye tid forstår
at meget snart hans egen time slår.
Hans ferd er fri. Sin tro han ei kan skjule,
må bringe mot og styrke til de svake,
de få av flokken som er enn tilbake;
men går så like inn i løvens hule."
AABCBC	"Det spørres snart at kristensektens leder,
den trossige, den farlige forræder
er kommet. — Og med samme kraft som før
til svik og frafall folket han vil tvinge.
Da hvesser løven sine skarpe klør
og hugger dem i viltets varme bringe."
AABBCC	"Så sitter Paulus da bak lås og slå,
i bolt og jern i fengslets skumle vrå.
Han vet forvisst, nå er hans dagverk endt,
det siste blad i skjebnens bok er vendt.
Ti lov og rett er landsforvist fra Rom.
Hva hast har vel en frekk forbryters dom? "
ABAB	"Den første rettergang var mer enn nok.
Sin rases ektefødte sønn er han!
Han er en utsøkt fører for den flokk
hvis skjulte verk er rov og mord og brann."
ABBC	"Hans tale var forvoven som hans mot,
vår dyre tid vi kunde gjerne spart.
Nå kan han vente. Han er godt forvart.
Nå kan han kjøle litt sitt hete blod."
AABB	"Hans planer er for alle tider rammet.
Hans munn er lukket, og hans arm er lammet.
Og Paulus venter. Dog mens tiden svinner,
hans tankes tråder kun om ett seg spinner:"
AABBCC	"Gudsrikets kår, dets farer fjernt og nær,
de svake brødres strid mot mørkets hær.
For én av dem hans hjerte særlig slår, 
ved natt og dag det svir som åpent sår:
Timolt e us, hans venn,i sorg er senket;
av tvil og mismot er hans hjerte krenket."
AABBCC	"I Efesus han står som hjordens vakt,
men kuet under hedenskapets makt.
Av tidens tåker lett hans øye hildes,
av løgnens skrik hans hjerte lett forvilles.
Så skriver Paulus. Sterke, ømme ord;
som far til elsket sønn, som bror til bror."
AABBCC	"Hvor gjerne han sin kjære venn dog bringer
den styrkedrikk som mørkets makt betvinger.
Og Paulus selv  han trenger ikke mindre
den venn som kan hans tunge trengsler lindre;
det hjerte i hvis dybder han kan se
og ønske bot for ensomhetens ve."
AABB	"Kom! ber han ham; men dagen snart er omme.
Det haster nå. Før vintren må du komme,
at jeg fornemme kan ennu en gang
ditt hjertes varme og din stemmes klang."
ABCB	"Og når du kommer, ta min kappe med;
ti kald er cellens luft og hårdt mitt leie.
Og bøkene hos Karpus, som du vet,
av jordisk gods det er mitt hele eie."
AABB	"Mitt øye stirrer på den nakne mur,
og lang er tiden i mitt trange bur.
Ti alle har forlatt meg. Lukas kun
har tjent meg trofast inntil denne stund."
AABB	"Da til mitt første forhør jeg var kalt,
da møtte ingen  Gud forlat dem alt.
Men Herren stod meg bi. Hans sterke hender
meg reddet nådig ut av løvens tenner.»"
ABBA	"Så prenter Paulus da sitt siste ord
og sender til sin unge venn som lider.
Hanssisbeord! Hvis lys til alle tider
skal skinne over kristnes strid på jord:"
AABB	"«Bli sterkt min sønn! Kom Jesus Krist i hu
Hans vei var livet gjennom dødens gru.
Kun den er sterk, som blind for jordens glans
med viljen hel har lagt sin hånd i hans."
AABB	"Når jordens riker synker og forgår,
Guds faste grunn urokket evig står.
Fullfør din tjeneste med udelt sinn;
din strid er Kristi strid  hans seier din."
AABB	"For meg er livets aftenstjerne tent.
Mitt offer har jeg bragt. Mitt liv er endt.
Stridt er den gode strid  og troens skatt
jeg reddet gjennom prøvens lange natt."
ABAB	"Så ligger da hin seirens skjønne krans
beredt for meg i evighetens sommer,
den rekkes meg når jeg i lysets glans
skal stilles for rettferdighetens dommer.»"
ABBA	"Tilsist for Kristi fange timen slår.
Med bundne hender gjennom Romas gater,
i kretsen av bevæbnede soldater
til døden for sin mester glad han går."
ABAB	"Hans kropp er krøkt av lidelser og nød,
men sjelen blusser dog av livets lue.
I øyet stråler enn den gamle glød,
og åndens klarhet over pannens bue."
ABAB	"Han er beredt. Det skarpe våben blinker.
Det gjør sin gjerning. Allting er forbi.
Rettferdighetens seierskrans ham vinker. 
Den bundne Paulus er for alltid fri."
ABBC	"Med år under vingen
Prøv at bli hjemme
her hvor din stemme
ikke et ekko engang kan få løst!"
ABCABC	"Hvor er nå vinden,
hvor er nå løvet,
hvor er nå rytmen i stammernes gang;
gresset mot kinden,
ormen i støvet,
roser og kingelvev, humler og sang?"
ABCABC	"Fatter du ikke,
du som fikk øyne,
hva der står skrevet i himmel og jord?
Vend dine blikke
bort mot det fløyne,
alt det som visste hvor sannheten bor!"
ABCABC	"Årstider skifter,
slukkes og tennes,
sole og stjerner ser ned i vår krok
alt er det skrifter,
blade som vendes
evig i skapelsens mektige bok."
AABCC	"Lær deg at tyde,
skynd deg at lyde
førend du selv ligger utstrakt og stiv.
Jeg vakler fremad svimmel,
jeg er i klokkenes himmel!"
AABBCC	"Alle fjellene henger
ned over alle enger,
svarte, avgnagde åser,
gamle skitne båser,
landet for sauer og kyr
og menneskedyr."
AABBB	"Ingen tinder i sky,
ingen solskinnsfly.
Her er jeg født og båret,
for tungebånd skåret,
til dikter kåret."
AABCBC	"Og her synger jeg visen
for trellen som passer grisen.
Det spiller i et gammelt slott.
Søylene er slanger.
Der sitter én tjener blott
i de øde ganger."
ABCA	"Han sover.
Et leie er redt til to,
men ingen kommer.
Det er ikke hestehover"
ABAB	"På dem med flit at bygge,
i dem med kunst at bo
som fugl der ligger trygge
i bølgedalens ro"
AAAB	"det er hva du skal lære!
At vann og vind kan bære
oss alle lett som fjære
det er hva du skal tro!"
ABAB	"Når han i skyen kommer,
som han engang har sagt,
da er han verdens dommer
med døden i sin makt."
ABABBB	"Da er det blot at kunne
det løsen vi fikk med
da vi løp bort som hunde,
mens han for livet stred.
Du husker tid og sted
og budet; våk og bed!"
ABCCB	"Må kvelden komme 
og gå som en isnende drøm
over fiskenes finner og lerens orm
og uro den stillhet hvor ingen storm
har rokket den evige strøm."
ABBBA	"Men lengre borte skråner det opp
mot l1ysere, villere vann.
Om klippene skinner en dunkel brann.
Og se, nå ruller fra lysets rand
en langsomt dreiende kropp "
AABCCDDA	"En evighet går. Så hviler den blødt
på tangen, som glinser i sort og rødt.
Tred nærmere nå, og se!
Hans øyne fortones i dypets blå,
hans hår flyder sammen med sandets grå;
hans panne og stenens glatte rund
kan ikke skjelnes, hans blålige munn
har de blåsorte tanglepper møtt."
ABACBC	"O syvsover du i det evige dyp,
intet kan vekke deg nu!
At kjødet blir føde for fisker og kryp
og knoklene blir til leire,
det er ikke for tanken en gru,
det frister blot den som ser!"
ABAB	"Fra høydene faller en lysning vakt
på den kulsorte klippevegg.
Der ligger en hummer og fråder svakt
med sin klo i likets skjegg..."
ABAB	"En grav er bedre enn alle slotter,
der har vi hjemme så små vi er.
Guds helgner bodde i hull og grotter,
i graven er vi ham alle nær."
ABAB	"Hvor godt at lytte til blestens susen,
til regnets rislen og løvets brus.
Hver dråpes fall er et nyt årtusen
som går til hvile i jordens grus."
ABAB	"Og også du er et blad på kvisten,
og også deg griper stormen fatt
og legger deg som et løv i kisten
og bruser over din sjel: god natt!"
ABAB	"Hvor godt at la sine tanker fare,
hvor godt at skue i det som flyr,
det er at kjenne guds vilje vare,
det er at se hva hans kraft betyr."
ABAB	"vårt hus er ikke et evigt fengsel,
det er et grenseløst faderskjød
med rom for hele vårt hjertes lengsel
og frihet både til liv og død."
ABAB	"Så kald på døden når du vil hvile,
han kommer lett som en aftenvind.
Og før det rasler i gravens pile
er du til stjernernes fred gått inn!"
ABBCDCEDE	"Akk hvor lenge, akk hvor lenge
varer ennu Herrens vrede?
Døden for enhver er rede.
Hva er dette?! — Redselsslagen
plutselig Obadja stanser. 
Ser jeg syner midt på dagen?
Har den siste tids elende
min forstand og mine sanser
svekket? — Ser jeg rett kan hende?"
AABCC	"Ja  det er ham! Gud, han kommer!
Solen om hans panne flommer!
Han går rank og fast som før,
kappen, staven, alt jeg kjenner,
harmen i hans blikke brenner. "
AABCDCD	"Skjelvende Obadja kneler 
bøyer seg til jorden, mæler:
«Er det deg, Elias, Herre !
«Ja det er. Gå straks tilbake,
si din konge, jeg er kommen
«Akk, Elias, skån meg, svake.
Skån meg! Kjenner du ei dommen?"
AABB	"Kongen har på hvert et sted
menn og kvinner tatt i ed:
Den som finner deg skal brenne,
hvis han slipper deg av hende."
ABACBC	"Når nå jeg ditt budskap bringer,
og vi kommer her tilbake,
og så du på åndens vinger,
båret er, vi vet ei hvor,
så må dødens slag jeg smake,
for jeg sviktet hva jeg svor."
ABBA	"Skån meg! Bitter var min strid.
Jeg har syndet jeg som andre;
dog  det var min lyst å vandre
på Guds veier all min tid."
ABAB	"Og når Jesabel lot slakte
Guds profeter allevegne,
hundreder av dem jeg bragte
bort til trygge, skjulte egne."
AABBCDC	"Ja til denne dag jeg skjuler,
femti mann i tvende huler,
og med eget liv i fare
søker jeg dem å bevare
og befri fra hungersnøden.
Derfor, skån din ringe tjener
jag ham ikke nå i døden."
AABB	"«Gå, Obadja!l Bring mitt bud
til din herre.  Ved min Gud
sverger jeg: Så skal det skje,
jeg idag skal Achab. se,"
ABAB	"Kongens tjener står forferdet.
Kongens verk han skal befordre,
og han vet, ei skåner sverdet
den som lyder fremmed ordre."
ABCDAB	"bringer kongebud i glemme,
selv han som en konge står.
Og Obadja kan ei mere,
det får briste eller bære 
Men profetens guddomsstemme
taus han vender seg og går."
AABBCDCD	"Ildprofeten står tilbake 
ser medlidende den svake,
redde mann, som fast seg klynger
til det lv som hårdt ham tynger.
Stakkars mann! Det er ei lett
gudløshetens verk å tjene.
Intet under, den blir trett,
som skal Gud og Baal forene."
AABB	"Dog  du mente det så vel,
derfor sletter Gud din gjeld. 
Var enn llivet fullt av brist,
ærlig var din vilje visst;"
AABBCDDC	"livets slagger, snart de glemmes,
livets gull skal evig gjemmes.
Elias har ventet. — Timen er nær!
I aftenens siste svinnende skjær
ser han en støvsky fra veien seg løfter.
Der kommer kongen — hissig og harm.
Han nærmer seg bratt. — Der høres en larm
av våben som klirrer og hester som snøfter."
AABBCC	"Elias går fremad — én mot mange 
i neste minutt er han kongens fange.
Fange? Å nei! Et selsomt skue:
ei løftes en arm, ei spennes en bue,
de barske soldater, som tørster etter blod,
de synes å mangle sitt krigerske mod."
AABCCB	"Og kongen selv? Har han glemt å befale?
Der merkes ingen kongelig klang i hans tale
når frem han støter: «Er det deg som kommer!
Du, som forstyrrer Israels land.
Da svarer Elias  og den ensomme mann
vokser til folkets og kongens dommer:"
AABB	"«Du feiler, kong Achab. Ikke jeg, men du
skal kreves til regnskap for tidens gru.
Du nedbrøt Guds alter, du sviktet ditt kall;
du brukte din makt til folkets fall."
AABCBC	"Hvorfor bøyet du ikke ditt hjerte i bot,
men lå som en trell for din dronnings fot.
Se deg omkring! Fra ende til ende
er landet en ørken, øde og tyst:
hungeren hisser frende mot frende,
spebarnet dør ved det tørrede bryst."
ABAB	"Ungdommen visner  de kraftige sønner
er oldinger lik, med slepende trinn.
Ingen har tårer, ingen har bønner
den sterke er håpløs, den vise er blind."
AABB	"Se deg omkring, kong Achab, og merk:
Din er skylden; alt er ditt verk.
Og nå skal det prøves. Nå skal du samle
landets innvånere, unge og gamle."
ABBCC	"Og særlig til dronningens sommerpalass.
Hent hennes prester, lakeier og sangere. —
Rapp deg, kong Achabl! Jag dine gangere.
Vi møtes på Karmel, ved Kisons dal.
Folket skal velge: Jehova eller Baal."
ABBCC	"Det går over landet som knitrende ild:
Elias er kommet! — De sløve vekkes,
enkelte gleder seg, andre forskrekkes;
men alle som kan, kvinner som menn,
strømmer i hast til Karmel hen."
ABAB	"Et underlig syn: veiene, stiene,
litt etter litt blir som levende snore
fremover skrentene, ned etter liene
skarene myldrer, talløse, store."
AABB	"Der er ikke stender, der er ikke klasser,
ikke et samfund, kun summende masser 
menneskekropper, visne som løvet,
menneskesjeler som nøden har sløvet."
AABBCC	"En eneste lidenskap brenner ennu
i de tuseners barm: det er sultens gru.
Plutselig går der et rykk gjennom massen 
på den eldgamle offerhøy midt på plassen
en mann treder frem, hvis grove drakt
betegner hans stilling og viser hans makt."
AABB	"Ensom og rolig for folket han står. 
Profeten Eliasl Over bjerget det går
som et dempet hvin.  Han løfter staven,
og på Karmel med ett er tyst som i graven."
AABB	"Elias taler. Med dommens vekt
faller hans ord på den sløve slekt.
De er som en gjenklang fra gamle tider:
«Hvor lenge vil dere halte til begge sider?"
AABB	"Hvis Herren er Gud, så gå etter ham!
Hvis Baal er Gud, så gå etter ham!
Si frem deres tanker! Bekjenn hva dere tror»
— Men folket svarte ham ikke et ord."
AABB	"Så- talte han atter: «Ved disse stene
står jeg, som Herrens profet, alene.
Men dere er mange.  Se dagen gryr
Så bring oss nå hver vårt offerdyr."
AABCDC	"Dere ofrer til Baal — til Jehova jeg;
og svaret vi får skal vise oss vei:
Den Gud som svarer ved ild, er Gud.
Ham vil vi alle tjene og ære,
den annen skal slettes for evig ut.»
Og folket svarte: «Så skal det være"
AABCCBDD	"Det folkets svar er Elias nok.
Så vender han seg til prestenes flokk.
«Dere må begynne!» så falt hans ord,
bi jeg er alene, men dere er mange.
Bring deres offer, syng deres sange,
og pris deres gud, hvis makt er så stor.
Men ingen av oss,» så føyer han til,
«skal tenne vårt offer med vanlig ild.»"
AABCCB	"Så trådte de frem og tok fatt med bønner,
hin utvalgte flokk av Fønikiens sønner.
De kjente sitt hjemlands ritual 
de danset rundt altret, smykket og sminket,
fra morgen til middag de hoppet og hinket,
og ropte: «Bønnhør oss, bønnhør oss, o Baal!»"
ABBA	"Men Baal stod taus. Deres rop og skrik
måtte i sannhet en sten kunne røre.
Villere danset de, hete og øre 
men guden stod kald og taus som et lik."
ABBCCD	"Da spottet Elias: «Dere er dårlige prester.
Deres lunger er svake. Rop så det høres!
Så skal nok Baal til medlidenhet røres.
kan hende han grubler på skjulte ting,
eller ferdes i fremmede egne omkring.
Ta fatt på ny. Rop av strupen ut."
ABCCBC	"Dere kan skjønne han hører. Han er jo Gud
De følger hans råd. Med øynene stive,
sin panne mot alterets stener de slår.
De styrter mot jorden,' de river sitt hår,
og flenger sin hud med syler og knive.
så blodet strømmer fra gapende sår."
AABCBC	"Fra morgen til middag, til matofrets tid
de bønfaller Baal med en usvekket flid
De skifter tørn — men akk, uten hell.
Som gale de hyler, som slagne de stønner,
de dekker i dynger det solbrente fjell.
Men Baal har ei svar på prestenes bønner."
ABABCCDEED	"Der steg fra massen en undertrykt støy.
Det syntes som folkets tålmodighet brast.
Elias gikk atter til alterets høy
og kalte på folket. Og rolig og fast
han reiste det nedbrutte alter alene,
la veden til rette på uhugne stene,
og ovenpå vedlaget offerets kjøt.
Så grov han en grøft om alterets rand,
som folket fylte tre ganger med vann,
så vannet i grøften rikelig fløt."
ABCDDC	"Så trådte han frem, den Herrens profet,
den herdede kjempe, han bad, han stred:
«Du, Abrahams, Isaks og Jakobs Gud!
O, vis dette folk din godhet og makt,
og at jeg er din tjener, som holder din pakt,
og gjorde alt dette ifølge ditt bud."
ABAB	"Svar dog, o Herre! At folket må kjenne
hvem som er Gud over himmel og jord.
Svar meg! Så folkets nød må få ende.
Svar meg! Å svar, Herre, etter ditt ord»"
ABABCDDEE	"Sekundene går. En spenningens vånde
syns gjennom mengden, som skjelven gå.
Ingen tør røre seg, knapt tør man ånde,
man hører sin sidemanns hjerte slå.
profeten deroppe står taus og alene.
Da løfter seg plutselig talløse hender:
«Ilden! Der er den! Se hvor den tenner»
Ofret og veden og grøftens vann,
all ting fortærer den himmelske brann."
AABBCD	"Da stiger et rop fra tusinde tunger,
fra ende til ende av bjerget det runger
stigende, fallende, gang på gang,
som en seiersfanfare, en jubel, en sang,
som et stormværs brus så toner det ut:
Jehova er Gud! Jehova er Gud!"
AABCDD	"Da roper Elias: Grip nå prestene!
Skån ikke eén!  Fei vekk alle restene
av Baals og Astartes giftige rot.
Fyll den tørrede bekk med de løgneres blod
Så gikk Elias. Til Karmels topp
med hastige skritt han skyndte seg opp."
ABBA	"Der la han sitt hode over sitt kne
og bad om regn.  Nå skulle det komme.
Nå skulle straffens tid være omme.
Men himlen var klar; ingen sky å se."
AABBCC	"Han bønfalt på ny, mere sterkt enn før.
Men himlen var klar, og luften tørr.
Og om igjen bad han, på ny og på ny.
Endelig steg der av havet en sky.
Da reiste han seg — Gud hørte hans bønn.
For år i kval denne sky var lønn."
ABCDD	"Da sendte han ilsomt et bud avsted
til teltet, hvor kongen fornøyet satt
og styrket sin kropp med vin og mat:
«Skynd deg, spenn for, dra hastig ned,
så ikke av regnet du voldes fortred»"
AABB	"Og skyen fra havet, den vokser fort;
snart fyller den rommet, blålig og sort.
Og sel under lyn og drønnende torden
de første regndråper suser mot jorden."
ABBCCDDEE	"Men dråpene øker til styrtende strømmer 
strømmer, som kveger den brente jord.
det er som han går i Guds egne spor.
Han fylles av seierens mektige ånd,
det er som han løses av stoffets bånd
og bæres av sterke, usynlige hender.
Tett svøper han kappen rundt sine lender,
og løper som storm foran kongens heste,
idag vil Elias Jesabel gjeste."
ABBA	"Ei tretthet, ei sult, ei det strømmende regn,
ei veiens menneskemylder han sanser,
intet ham hindrer, intet ham stanser
før med kongen han rekker Jesreels egn."
ABAB	"Jesus, styr du mine tanker,
Jesus, la meg leve så
at hvor jeg i verden vanker,
et Guds barn jeg være må!"
ABAB	"At hver stund jeg ånde drager
Gud til ære, meg til gavn,
og så dør når ham behager.
i det søte Jesu navn."
ABCB	"Salig er den hvis synd er forlatt,
salig i Gud alene.
Salig er den som uten svik
vandrer Guds vei den rene."
ABCB	"Lenge jeg taug, og livets saft
svant som ved sommerens tørke.
Gammel jeg ble, og dagens lys
sluktes i nattens mørke."
ABCB	"Da jeg bekjente min synd for Gud,
hørte jeg ord så milde.
Livlig i ørkenens glødende sand
åpnet seg livets kilde."
ABCB	"Gud er mitt skjul, min trygge borg,
Gud er min eneste lengsel.
Fuglen som blør av tusen sår,
løser han mildt av fengsel."
ABCB	"Byrden han løfter fra trett manns rygg,
trellen for åket befrier.
Salig enhver som tålsom og tro
etter Guds frelse bier."
ABCB	"Salig er den som uten svik
trofast hans lov vil lyde.
Han skal få bo i trygghets land,
evig i Gud seg fryde."
ABCB	"Syng, dere rettferdige, jubler med fryd !
Syng til Jehovas ære
Han vil i miskunn dag etter dag
veien til livet dere lære."
TABAB	"AKROBATEN
Han smilte rolig, mens han hvilte litt,
den slanke yngling i trapesens gynge.
Så svang han dristig ut og svevet fritt
og laget sin berømte kjempeslynge."
ABAB	"I farten slapp han grepet i trapesen
helt uten tanke på de andres skrekk,
og suste som et svalevinget vesen
hen til en svingstang, åtte meter vekk!"
ABAB	"Men opp fra dypet skar et kvinneskrik,
idet han sprang mot livet eller døden —
så tordnet bifallsstormen mot ham slik
at mannen nesten glemte det var gjort for føden."
TABAB	"MODERENS SANG
Herre, tag i din sterke hånd
barnet, som leker ved stranden!
Send du din verdige helligånd,
at det kan leke selvannen!"
AABC	"Vannet er dypt og bunnen glatt;
Herre, får han først i armen fatt,
drukner det ikke, men lever,
til du det nåde-rik hærver."
ABAB	"Moderen sitter i tunge savn,
vet ikke, hvor det farer,
ganger for døren, roper dets navn,
hører slett ikke, det svarer."
AABB	"Tenker som så: Hvor en det er,
han og du er det alltid nær;
Jesus, dets lille broder,
følger det hjem til moder."
AABB	"kulde, hete,
hagl og væte,
alt er meg til næring,
og jeg er min egen båt og færing."
AABBCC	"Storm og stille er for meg det samme,
jeg kan slukkes ut og jeg kan flamme,
være lys som brenner stille,
være ville
luer over skjæret,
glimt som flykter bort i været."
AABBCC	"Alltid ser du meg igjen en morgen,
om i høsten, somren, vintren, våren;
livet kjenner jeg men ikke døden,
like kjære er meg morgenrøden
og den stille, tåkeslørte kveld,
ingen av dem har sagt meg farvel!"
AABBCCDDEE	"O, vi lever i et evig møte,
svikte kan de ikke, ikke jeg forstøte,
evig gjensyn er vårt vesens higen,
jeg er helten aldri falt i krigen,
elskeren som elsker uten grense,
ham hvis beger alle vil kredense,
sky og stjerne, månelys og natt,
alt forlatende og alt forlatt,
aldri fastholdt og dog evig bunden,
skapt av evigheten, født av stunden."
AABB	"Solen speiler jeg, jeg speiler månen,
blå jeg løfter meg i morgenblånen
blank jeg dukker meg blandt stjernebilder;
alle timer er meg gledeskilder"
AABCCB	"Vintrens makt forlengst er brutt.
Som en klinger, festlig lutt
synger våren over lande.
Havet, uten vold og brynde,
svøper seg med kjælen ynde
viden om Italiens strande."
AABCCDDB	"Se, fra syd, i solens dis.
glir et skip for laber bris
ad det brede sund som skiller
Kap Minervas klipperand
ifra Kaprils steile strand.
Solens gylne rosenskjær
over skipets rigg og rær
og det hvite toppseil spiller."
AABBCDCD	"Skipet seiler ei for lyst.
Fra en fjern, en ødsel kyst
med en overflødig grøde,
kommer det med korn og føde
til den sultne verdensstat,
hvor der alltid finnes flere
munner enn der finnes mat.
Skipet fører også mere:"
ABBA	"Maltas fanger er ombord.
Fra sin lange vinterdvale
i dets stille klippedale
nærmer de seg Romas jord."
ABBCADCD	"En av dem med glød i øyet
speider, høyt fra skipets stavn,
ivrig mot den nære havn.
Det er Paulus, Cæsars fange.
Han er eldet, grånet, bøyet,
av mishandling og tortur,
og av årene så lange
bak den skumle fengselsmur."
ABACCB	"Men han står med løftet panne,
stirrer lengselsfullt mot målet,
mens Campagnens lyse strande
drager ham med tryllemakt.
Neppe har en større prakt
for et jordisk øye strålet."
AABCBCDEFEFGDGC	"Himlen blåner, havet drømmer, 
i dets lette hildring svømmer
Kapri, som en gammel borg,
de vidunderlige rammer
om så megen ukjent sorg
og den falne keisers jammer.
Og mot øst, til høyre side,
svever som en morgensky
over kystens lave skrent
Tassos gamle fødeby,
Golfens kjælebarn, Sorrent.
Og av sjøens dype blå
stiger, lik en pyramide,
stolt Vesuvi skyer på
med sitt svelg av ild og flammer."
ABCCA	"Til dets brede jettebringe
lener seg i drømmer blide
Herkulanum og Pompei;
i sin sorgløshet de ei
hører dødens klokker ringe."
AABCBDCD	"Og mot nord, i buktens bue,
skinnende i solens lue,
smiler dronningen blandt steder:
hvit, i dunkle lunders brem,
opad strandens skråning breder
seg Neapel, gledens trone;
dikteres og fyrsters hjem,
rikets lyst, Campagnens krone."
AABCBC	"Sakte glider skipet over
buktens solbelyste vover,
stolt og smykket som til fest.
Kommet helt fra Orienten
hilses det som velkjent gjest
etter denne lange venten."
ABBA	"Og som fugleskarer svermer
båtene om skipets stavn,
medens Puteolis havn
med sin rikdom det seg nærmer."
