sent_a	sent_b	rhyme
for tusen øynes blanke stål.	Apostelen nå står som mål	1
den gamle seer med det samme.  —	nå skal han føle kongens hånd.	0
tilbake til hans arme mor,	din makt og kjærlighet er stor!»	1
da peker klippens fé mot hedenold,	og himlen selv med vinterskyer truer,	0
Men han? Akk, ennu var veien lukket —	ennu gikk han med sorgen og byrden og sukket.	1
Hun flettet av de blomster som slett ikke fant's!	ingen blomster fant's;	1
Løfterik seg himlen hvelver	over verdens unge vår.	0
Det stod der og var nettopp så fredfullt som før,	jeg lenet meg inn til dets samme	0
i hjemmet her på denne kyst,	hvorfra vi ser den fjerne strand	0
Oldtidens manende rune	høyt på dens skaft,	0
men hør, hva er dets heder og dets makt	hvor grunnes den når grenseløst forsagt	1
Hu, de lange fæle år	under Jahves tiggerkår,	1
Så merkelig sjelden det gjelder	at arbeidet adler en mann.	0
i lyset av Guds fred vugger salmen han gav.	I lys av Guds fred kom hans ord over hav,	1
Skjønn og rik, i makt og ynde,	ungdomsfrisk, berust av hell,	0
med begge hender fulle av violer	som raktes meg, så jeg fikk lukte på dem	0
Det er ditt din egen arv,	og dets trengsler har forglemt.	0
med vennskapstraktat eller avrustningspakt!	Og den skulle ingen få ødelagt	1
Vel var dens klædning ikke villvinsranker,	har sagt om ørknen sin, at den var vakker,	0
oss kan dog ordet aldri gjelde.	med uinnskrenket enevelde,	1
I et venneøyes smil	druknet ofte sorg og tvil.	1
solen alt dets dagrand gyller.	frem av folkehavets mylder;	1
Paulus kjemper, trett og matt.	I den lange mørke natt,	1
Bøy deg! Tilbed! Vi forgår!	Se dog, konge, Herrens finger!	0
Det er nok. Den hele hop	Armer rundt i luften fekter,	0
Men går du isteden i værets kafé	Der har de sin kaffe, sin nordlandske snakk,	0
hvor ble deres fører av?	rådløs står de og forlatt.	0
alt er saga  alt er dåd og minner.	ser han, som en sky mot fjellets runding,	0
En slekt på film, en slekt på ski	Når brente vi mot ett: at gi,	1
og lengsler som i barmen bor,	dog faller også stille ord	1
i konge-skiftets sorg der sør,	dengang dem Harald herjing bød:	0
kongen er jo landets fader,	hensyn krever også tiden. 	0
«Jeg trodde før at der var lagt	Hans tjener er du, vis og sterk;	0
sin ild i by.	i nattens ly,	1
vi er liv av ditt liv — forkast oss ei	Hvem kan bestå når din vrede brenner?	0
Og apostlene går  uten vrede og klage,	sin urett imot dem.  Og ber dem så drage,	1
skåler skjenkes. 	om bord benkes, 	1
Langs veien løftet palme etter palme	sprang ut og glødet under vårens salme.	1
Han lar seg ikke true	av dine magre tall	0
en takk-fylt glede innad ruten se	og hårde minner med sitt skinn forgylle,	0
og dertil en skare av smukke slavinner	som hisset av vin og frekke viser	0
mens hans tanker rotløst virrer, —	og som går de steile spor	0
Imperiet er truet av pøbel og ramp?	Han ryster det av med et smil.	0
Nypetornen i gjerdet	står nå så veldig i hvitt	0
Min gjerning snart er gjort. For sol	å løse hans sandalers bånd.»	0
og så gjorde underet resten!	han stod der i varmen av hjertets blod	0
Den står ei stille ved sirenesang,	og fremmed visdom i vårt norske nemme.	0
før slukt er vind og vove,	kveld, kveld . . .	0
siden handelns makt,	engang kongers vakt,	1
O hav, du min moder, mot meg var du god,	kraften vi av rytmen må stjele!	0
og stod med et i vann til kness	og fikk en sjø i fjeset	0
har flagret der med klynk og hvin,	mitt sukk den hørte beve der.»	0
gjennom stadens skidne streder	medens tusen hese stemmer	0
og landet egentlig en ødegård.	var dog dets tankegang konfus begrunnet,	0
av disse å skape	slikt ord for øret	1
skal den rustes ut  og gjøde	seg med Gosens rike grøde !	1
av glimmer og prakt	i både manerer og drakt.	1
og en kveldstund kommer skarver	bud om høst og annen vind!	0
Så bad den sterke troens helt.	hans bønn ble rop, hans rop ble skrik.	0
da slapp jeg så gjerne alt jeg har vunnet,	O eiet jeg freden som disse har funnet,	1
Spenningen tar ham. Det er som han føler	Tør han gå nærmere? Fryktsom han nøler.	1
Hun spiller for trærnes grener,	for kjerteflammen .	0
Det stormer i vest og det skinner i øst	med budskap fra verdens grunn.	0
Og håret ditt  krøllen, som før hang og slang	nå var det blitt dannet og glatt.	0
Å, lykke i livet: en morgen å suse	å løfte sin sang mot det blendende gry!	0
Så har vi et redskap på lina nok lik,	den settes med loddstein på klakken.	0
av de blåhvite bryn,	hos min mor.	0
og sette ut i livet dine store planer.	Nå eier du et sted imellom høye graner	1
lyder underbart en stemme:	Da fra skyens mørke gjemme	1
«Hvem er feilfri? La oss dømme	Barnabas, den vise, ømme,	1
forræderiets ild.	sin konges liv på spill.	1
Og folket får i sin redsel rett —	akk, frihetens dag ble kort.	0
Angst og frykt hvert hjerte knuger.	straffedommer fra det høye —	0
som du så trøstig gynger.	hører hva fuglen synger,	1
og fikk sin grøt og logret pent med halen;	kan ei erstattes av en plantet lund,	0
Ti ofte det spør i mitt sinn:	enn adlydt ditt bedre instinkt?	0
hvor fyret med lysøyet glipper.	inn bak om dens molo er bygget en havn	0
Som en konge mellom fjelle,	løfter Hermons stolte topp	0
heltens tunge smertensstønn,	folk som ser den nære død.	0
en lettelse for svirebrødres lunger,	det hese uværsskrik fra fjellets ravner,	0
når over hav de mørke fjell	i stjerneglans forsvinner.	0
Nei, det gjorde jeg visst ikke.	jeg vil lade avbud skikke.	1
Maltas fanger er ombord.	i dets stille klippedale	0
Og dagen vil komme, den er ikke fjern,	og kornakset samle på gullet.	0
de dømmer ingen, er humane.	Hans prester bærer frihets fane;	1
lik stål og sang, her suser fri	vårt eventyr!	0
og synden kysses ifra din panne!	Til hjemmet hist står der åpne døre;	0
ved midnatt og vagger bort over skum og skrot	med evigt frysende blikk mot det som skjer.	0
hvor fossene stryker i dal og i fjell	sin tone langs lien og skogen.	0
Hva er dette dog for under?	Jøder, uten jødens skikke,	0
opp mot tordenskyens brem.	et bekvemt, et fredet hjem.	1
O, vi som har kjent skam, vi fant et sted her,	uten en krampe som går hurtig over...	0
roper med hele sin stemmes makt:	Men Paulus, som ser den fortviledes akt,	1
og tvangen knustes som et potteskår?	Og skjønt no folket stod med kranset hår	1
løftende land i din ild-hu, ditt lune!	høyt på dens skaft,	0
men røtters net bandt skogens til hverandre.	Da sås i øde egn ei mann, ei kvinne,	0
Den ensomme reise, mil etter mil,	tvinger hans tanker til grublen og tvil.	1
troppens ferd i byens gater	mellom dem. Og ingen tenker,	0
En spovehan seiler så døgnvill omkring.	og smelter deg inn i den vide natur	0
det hjemmets bilde i min diktning lå,	Og hvis vårt folk engang vil rett forstå	1
Dets fane til seir er Jehovas navn,	dets stjerne hans våkne øye.	0
sine egne trollmenn inn,	skaper ro i kongens sinn.	1
og plass for veslegutt å tumle på.	og snakket vondt om gatene i byen!	0
da var det som om vårnatten kysset våre ben	og nordenvinden mildt kom og skjendte.	0
Den steg oasegrønn av ørkensand,	og i den hang	0
brev og bud til ham fra den berømte,	vidt bereiste mester Ole Bull.	0
så er den dog den eneste	forgrenet gjennom alle her,	0
så vipper de i den hårde fart 	og likevel må det kjøres hardt!	1
Men etterhånden ryktet gikk	han lokket med sin strengeleik	0
og trådte i fedrenes fotefar.	da foten han satte på hellig grunn	0
men odelstanken var arbeidets makt	og satte seg bo i en nordvendt natur,	0
de gamle skrifters dyp på ny.	Og se  av ørknens tørre sand	0
En stav og en kappe er hele hans eie,	i drømmenes verden er glemsel og ro.	0
«Så falt hans ord.	i den senere tid er blitt litt bløt.	0
og mindre og mindre lange.	og tilslutt er allting her!	0
Og ute på Finnesset høiskolen står	skjønt Grundtvig stod fadder til skolen.	0
som fra den himmelske kjærlighet	som når ditt barn under bønn du vugger.	0
Nei ikke fordi jeg har glemt dine smil,	min lykke en hård melodi.	0
Men det er vel ei så farlig,	ti der falt nok noen før	0
som et vift av englevinger	som musikk fra korset klinger:	1
tankene suser som faner	den kom fra deg!	0
å kunne skjenke dem en deilig aften!	til nå (for livet skal vi atter møtes	1
og hver og én skal Herrens godhet kjenne.	De slappe strenger stemmes skal på ny.	0
betleren isine pjalter,	høvdingen i embedsskrud,	0
Han blåser sin fløyte, han rører sin streng	og synger de lifligste kveder.	0
Og da timen så var inne	var jeg jordens største kvinne.	1
for folket som ikke på jord har sin like.	som åpnet ham synenes strålende rike,	1
det sovnede inn	med tanker i sinn.	1
Jeg speidet fra den øde hei	og lyste over dette sted	0
har den sin yngel stille lagt til side.	Titt dårskap er en lett efemeride.	1
som har hørt hva der i lønn	taltes om og gav tilkjenne	0
Skipet seiler ei for lyst.	Skipet fører også mere:	0
Jeg elsker deg, men hvem kan elske nok	i evig trældom i så svart en by?	0
dog brente rundt i kretsen alterflammen,	og høyt og fritt seg hvelvet støvets hjem.	0
er forbi	«Dersom ikke vi	1
Over Jerusalems brogede vrimmel	Aftenens dulmende ro seg breder	0
hvor far og mor i ømhet fredet	og gamle stakler lydig bøyet	0
Er det storm eller himmelens lys som med et	mot de snehvide, rullende skyer.	0
med iver dag og natt.	hans omsorg blir ei matt;	1
når det gjaldt krigersk snitt, især i skjorte,	av arisk kraft til hundrede procent.	0
nå nød han i fred sin tapperhets lønn,	Han var, som enhver Makedonias sønn,	1
Din beste falk kan ikke fly	mer lystelig enn den!»	0
Hvor mangen stymper tror ei han har merket	det lettest grepne trenger fram og bjeffer,	0
hadde håpets lysskjær slukket.	«Mester, hvorfor kom du ikke	0
hvis skjønnhet rabbinerens øyne ei tåler.	— Da gripes Saul av en hemmelig gru	0
de vidunderlige rammer	og den falne keisers jammer.	1
Men spurveflokken våkner i det samme,	slår den en seer med forsterket ild.	0
Edle ånder døpte det til storhet, dåd og glans.	I begeistrings flamme formet kunstens menn dets ånd,	0
til torvets moské.	min rute med sne.	1
Smiler du ikke ved målet,	ranker seg opp om din skulder,	0
Takt, takt, pass på takten,	Vinger opp til Bergenstrakten,	0
Forferdet erfarer stadens pretorer	sin urett imot dem.  Og ber dem så drage,	0
som hilste meg med fjellenes kulde;	og på jorden var alt som det skulle!	1
ti Gud var sjelens lys og ære.	her kunde noen mén ei være,	1
så tvinges ofte selve jomfru Olsen til retrett,	Når Kalsen slik har spilt en stund og grått en liten skvett	1
Og bølgene reiser seg atter som skrik,	som hærskrik der opfyller strandskog og vik,	1
Jøder, uten jødens skikke,	rike kjøbmenn, gatens sønner,	0
og som lesset dødens vekt	på den arme, pinte slekt.	1
Til ofrets smerte er hans sjel beredt,	Han bøyer seg for dommens ord,  og tier.	0
for solskinnets sødme og bølgenes salt,	hvis vingefang neppe vil bære.	0
Den svimlende himmelbrygge	garvet av blodig sved.	0
du for himlen tenner.	vilt dens lue brenner.	1
sang salmer og takket for åket:	Og noen, hvis hjerner var tåket	1
Alle kvinner forlot jeg med det samme	som blot rapser en frukt langs sin vei,	0
mot fremmed hær og fremmed ånd,	og Wessels sverd og Wessels penn,	0
Rene sjelers samspill dog forbliver,	aldri rives evighetens bånd.	0
der sang det utrolige: Fred på jord!	I eteren bruste velsignede ord	1
«Våre ord han lite enser.»	kanskje verre enn vi aner.	0
så det var kanskje best.	og sol og lek og fest.	1
blir stien jeg går på forvandlet til sang.	og slippe meg frem til et hav bak en li.	0
full av kåthet, last og brynde	kappes den med Roma selv.	0
Bygdene skifter; men ta dem i bolk:	sangfulle dyp, men bølgeaktig':	0
Og blonde fru Gisken vi husker deg vel,	og kaster med blomster mot målet !	0
For meg er hun herskerinnen,	En eneste sang til kvinnen,	1
med stille beven mot Judea.	de skuer Saronsslettens brud:	0
«Ei heller dette hjalp. Hvor han er sikker!	men enn en dyst jeg vover  et forsøk.	0
Sådan en gjerning vårt selskap har gjort!	Du kom som regn til den smektende vår!	0
Og se, nå ruller fra lysets rand	Om klippene skinner en dunkel brann.	1
Hvor mørket dog forstår med hån at le	Så dypt du spotter oss, o gud, at vi	0
«Reis deg, konge! Eller hva?	Reis deg! Et og drikk, vær glad.	1
det var noen stenkast kun,	svandt bort i samme stund	1
og aldri stå og svimle i det bratte?	og tyde ånden i konturens fletning	0
og tranlygter henger	og blandt bord og råtne stenger	1
at de ingen kløkt og møye sparer	for å fange ham i dødens spinn.	0
da satt i teltets lave bo	ved lampens skinn den sjeldne gjest	0
Heller ei som jaget fugl	fienden er hans egne frender,	0
Så til Rom! Det er hans håb forvisst	seilklart ligger skipet som skal bære	0
Mitt land glider inn i den visshet om vår	som skinner i bølger og blest;	0
vil deg gaven skjenkes fra det høye,	«Denne bønn er stor. Men hvis ditt øye	1
Han er visst lei seg. Det er ikke godt	med sånt et helvetsleven dagen lang.	0
om lønn for troskap, straff for fall.	ved Mose munn, om folkets kall,	1
ved taflet hos den underfulle dronning,	Det hele har forvandlet seg til honning.	1
Men tenk så naturen med himmel og hav	romantisk og fjernt som et hilder.	0
Så for Gosens treller slår	tendes over sorgens år.	1
Det sendes piler mot ditt hjerte,	og vent med hvert av livets år	0
Hvor godt at la sine tanker fare,	hvor godt at skue i det som flyr,	0
på hans kinner, på hans munn.	Og i denne bitre stund	1
venter og stunder med uro og beven.	Dagene lange han sitter ved veven,	1
Herrens røst på bjerget lyder:	Reis deg! Jeg min ed fortryder.	1
fra mausoleet, jorden stod i røk.	Den ukjente soldaten ventet dem.	0
han hørte i miskunn den bedende mor.	han som den minste av sine kjenner,	0
fra skogen suser pileregn,	som rider under graners hegn.	1
før antendt i ovnen den varmer!	av dammen med trenede armer.	1
Det var oppå låvetaket hans Ola-Per Kviste:	Neste gang jeg skal hive deg, må du ha med lite niste.	1
men ser han markens brente øde,	så minnes han om død og grav,	0
Og derfor tør den dekke seg med sminke	Og se, no priser man den verste sinke	1
sang salmer og takket for åket:	av bibelen, trælenes bok,	0
edle vekster sparsomt gror.	gi dem deres fedres hjem	0
Snart modnes vårt høy og vårt korn over strå	og bonden begynner å kvesse sin ljå	1
Så reiser vi til vårt fedreland,	der stander en borg så prud og grand	1
et vær av vekst og mildhet og evig sammenheng.	Et sus av regn som sivet mot elv, mot vårgrønn eng,	1
Templene kaller... Rid, rytter, rid!	Å ensomme hjerte, som aldri har veket	0
der står de hånd i hånd de to	i lundens skyggefulle bo,	1
Eller føres han kanhende	Hvordan? Har en større dommer	0
jevne vei for trette fot.	du kan samle alt det spredte,	0
Hver kvinne og mann over tyve år	til engang dere ser hva Gud formår,	1
og lang er tiden i mitt trange bur.	Ti alle har forlatt meg. Lukas kun	0
Med stormen i min vilje, med bølgen i mitt sinn	til det hjerte jeg innerst hører banke.	0
for en jødes gudelære,	Her er just den rette sfære	1
Selv den som sine egne sår	for verdens store ve kan glemme,	0
mens timene sleper seg langsomt avsted,	Derinne Elias venter og våker,	0
med tak av bølgeblikk, og plankebenker:	Men alle eventyr som vår tid skjenker	1
Min gjerning snart er gjort. For sol	ham venter. Verd er ei min hånd	0
Hennes plan forlengst er ferdig,	og i sannhet, den er verdig	1
Og reise mot fremmede steder,	hvis navn er som løfter om alt der er skjønt	0
og tårene rinner i striper.	mens dagslyset skinner i disk og i støp	0
En grav er bedre enn alle slotter,	i graven er vi ham alle nær.	0
med et sukk igjennom linden,	og mot vesten vandrer skyen blidt,	0
O ensomhets redsell — På vaklende fot 	O syn, som må skjære en innerst inne.	0
Kan aldri et menneskehjerte makte det bliv	som løfter deg ut av det fortapte?	0
klinger lystig gjennom li og lund.	over hav og fjell og fjord og sund,	1
Men fisket ved kysten tar ikke sin stopp,	og fanger av havet sin brosme og sei,	0
Og prikken ble en bil. Men den er vekk.	hvor gaten ender i en loddrett sprekk.	1
hans klassiske drag og hans mektige øye.	Nå krum-bøydd av smerte, nå reist av sin kraft,	0
Nå reiser russebjørnen ragg,	Vårherre, hit med dommedagen!	0
I dette lysets strålebad	står Saulus renset, fri og glad.	1
alltid er jeg både mulm og flamme,	det du lyttet til og ikke hørte,	0
Men når været er stygt,	Nei.	0
Alt skal du ofrelt Hva skal du når	Atlantis blir nådd, når du synker i havet!	0
over bårene lille Regine!	her ror i sin verden av havskrømt og sagn	0
Vårkvelden er som en sortnende tvil.	og havet er blakket som lut.	0
bøyes selv som siv i vind.	selv om skammens ild ham brenner.	0
hans samlede styrke er ringe å se,	foruten ham selv den telles i tre.	1
en høvedsmann hele sitt mannskap til kor	med boken og hjemlige salmer.	0
og ikke de hengende piler	og huset som stod for fall.	0
så til sist de arme kjenner	var som rad av skarpe tenner	1
Vennlig senkes sabbatsro	over byens larm og stimmel,	0
Og her synger jeg visen	Det spiller i et gammelt slott.	0
Hans ferd er fri. Sin tro han ei kan skjule,	må bringe mot og styrke til de svake,	0
H a n bever som svakeste, usleste orm,	Han likner en skygge, der bort han går.	0
mot Horebs veldige, ville platå ?	Ja, selv Libanon, bred og trygg?	0
just som jeg hviskede: bliv!	vek meg ditt blikk.	0
Her ligger i havet de hundrede skjær	mens steinkirken ligger i solen som rav	0
Derfor må dets arv betrygges	som kan tøyle folkets drifter —	0
O Jehova! Vær meg nær!	mørkets seiersdrukne hær.	1
går veien til vår drømte nye stat	at gjennom denne skapende fabrikk	0
Ingen skal skue det siste,  det første	løper i ett.	0
Den ånd som viking-snekken bygde	og derfra over alle tider,	0
Saulus harmes. Vreden flammer	Uten skånsel skal han svinge	0
Og det lille alter for en gud foruten navn	ham, den Ene, som er kommet for all jordens nød.	0
Og fra gravens sorte rammer	fjernt fra havets hese skavler,	0
langs landets kyst til Akko frem.	De overskrider Kisons leie,	0
For ellers så vilde vi neppe ha sett	det spor til vår frihet og rett.	1
hvordan gammelt nag får råde,	selv i sinn hvis dyre eie	0
Her fant de i fremmed land en dør	som alltid stod åpen, årle og silde,	0
Men underne øker, hør ordene slår	som av nære og hemlige makter !	0
Og vet du det ikke, så merk deg det straks	og myknet med olje så vidt der er plass,	0
ned over en blomsterdekt klippe.	til markenes helning — hvert husbygg se	0
som Herren har lagt i hans munn:	Guds frelse i denne stund.	1
Men Eivind Bolt, den gjæve svenn,	kom snart til kraft og sans igjen.	1
Strålte ikke for hans øye	svermeren deroppe stå,	0
blidt med deg i stranden.	havet gikk og sang	0
bær Yukon et hemmelig smykke:	det røde og skinnende gull.	0
Ja, dersom du anede slikt,	at nettopp det bølgende fløy	0
faller over sjelevrimlen,	så et øyeblikk den skuer	0
den er mer enn halve makten.	Vinger opp til Bergenstrakten,	0
Jeg ville så gjerne med venner på jord	jeg er jo den gamle, i lyset jeg bor	1
og bruser over din sjel: god natt!	og også deg griper stormen fatt	1
beskyttet hemmelig når døden slår meg!	Vår er en fred hvor smerten ikke når meg.	1
Nå Jehovas sang han hører.	Stille står den store fører:	1
og Hebreerne lytter og ser	forsvunnet er Faraos hær.	0
Han må demaskeres. Fluks	vi vil gi ham en instruks,	1
fra brudgommens sinn. 	brudens kinn,	1
hver vilje her vokste, så straks sin grav,	vår histories gråt;	0
dit når vel ikke kongens pile.	av livets dyp han selv får drikke.	0
var hans vrede over feil;  men den la'e seg straks,	og en styrt-regn av vidd, hvorved ingen satt fri.	0
Så høster David sine synders frukt,	mens angrens torner i hans hjerte stinger.	0
Selv Egyptens trollmenn bever	for den Gud som evig lever	1
og ser i det flakkende lampeskinn	nå kjenner han dem! Han synker i kne	0
alt hva ditt mismot har dugget,	fanger i roser ditt navn,	0
at hjertet kan danse i smugg.	Men bjerkene smiler bedrøvet.	0
mens lysets frøkorn lover mange fold,	og du ser gylne harper, kvasse buer,	0
vandret først ad øde sletter	mellom murer av granitt.	0
Lister seg lengsler gjennom hans bryst,	lokker den hjemløse hjemmets lyst?	1
i blomstens kalk, på markens strå,	på slettens prakt, på fjellets rand,	0
Reis derfor ingen tårne,	av vind og hav og sky.	0
Ingen larm fra veien mer,	som om nattens stillhet sner	1
Bak skoger og snehvite vidder	men damen var lunefull,	0
nei — med skjenk og store gaver	er du dødsens. Merk mitt ord.»	0
Herre min Gud! godt er ditt hjem,	kanskje du alt har din dør på klem?	1
skal den rustes ut  og gjøde	Hvis det noensinne skjer	0
det er at kjenne guds vilje vare,	hvor godt at skue i det som flyr,	0
hvem makter vel i veien trede	Ei folket deles mer, ei makten.	0
til fornyet gransken av	under skinn av rettens krav	1
for efterpå med munn og hånd	først glødende en sak forfekte,	0
skjærer skarpt et veldig lyn	braker gjennom slottets hall,	0
du som fikk øyne,	hva der står skrevet i himmel og jord?	0
Bygg høyt og stort! Til Herrens ære	å kjenne Gud i sjel og sinn.	0
på skyggeløse sletter, hvor livet er en blund	i drømmene jeg går	0
«Hold ut! Bli vedt Du har så stor en høst!	Og klart og stille hørte han Guds røst:	1
Og er enn brystene bare kart,	og likevel må det kjøres hardt!	1
å kaste det som hellig er.	for slike menn er spilt besvær,	1
Da slo hans hjerte atter blidt,	til sine fedres helligdom.	0
der heimen lå ved elvebredd,	han måtte svale hjertets nag	0
Da oser mørket atter over byen,	og havets vinde gir seg til at spille	0
Just nå, som dypet bølger hvelver	vår ungdoms sterke lengsler skjelver;	1
hvor alt er for hånd for å leve!	Selv skogen og torven og kildenes vann,	0
Det mørkner om den bleke strand	på svaletakets bue.	0
tumlet og malet	dyrene lister,	0
Hans tales tema var kun ett,	fikk åndens sterke, stille dåp.	0
lever, ånder og beveges.	Ti av ham den minste preges,	1
jeg kan lette ditt humør:	«Nå, min venn! Jeg tror forvisst	0
ei høvdingånd, å la seg lede	Slik ferd kan ei det gode frede,	1
som gjennom gaven slår.	den lettet mine kår;	1
og våknet bratt;	Ville den fange og våknet bratt,	1
I den falt gnisten av min moders lyse	og varme sjel; og ekteskapets lykke	0
Fattig og ung var jeg kommet. Jeg lignet min ungdom engang	med trær som forsmekter på stengrunn, min gates fortvilede trær.	0
Så full av løfter, mens i fryd den vet	Så lik den vi andre får til del,	0
da peker klippens fé mot hedenold,	mens lysets frøkorn lover mange fold,	1
når i sjelen det er natt?	føler seg av Gud forlatt? 	1
med skiper og utstyr ble en koloni	og så gjorde underet resten!	0
og legger for dagen, med ord og anger,	Og apostlene går  uten vrede og klage,	0
ti som løpeild det farer 	en profet, en sannhets tolk. 	0
til landets fred, til landets rett.	og vise Salomo beredt	1
men for dagen er skjellagn det beste.	en meter fra feste til feste.	1
så har vi da skarven så svartmalt han står	Men rundt omkring båten går alke og and,	0
Hvem var de, at de måtte søke ly	på kort besøk?	0
jublet store der og små.	bruden med sin krone på.	1
intet hevnrop over brøden 	Ingen sjeleangst i døden,	1
på sin brudekrans.	«men siden vet jeg lite om hun fletter sin krans!	1
stod vestenværet fra en salt, ung vår.	og stormen mørknet til, og sjøfugl skrek.	0
fra før ens håp ble bisatt i en gård	på trette ben,	0
Denne flukt på lette meier	det er greier, det!	0
Det kostet en hårdnakket kamp... Men den endte da sandelig bra!	er det virkelig så lenge siden, så mange år siden da!	1
«rolig», sa han til gård og havn.	Somren sovnet i vintrens favn,	1
der sov i midten av et mektigt kor.	den bitre visshet og den milde drøm.	0
Opp alle folk på denne jord,	Halleluja, vår Gud er stor!	1
alt er saga  alt er dåd og minner.	pløyer raskt den smukke seilleds spor.	0
til storbåten fylles i rommet.	fabrikkene sluker det alt i et visp	0
Er paktens bue sønderrevet,	for folkets redning, liv og fred.	0
Filippi er blitt ham så såre kjær.	Hvor elsker han dog de trofaste menn,	0
I slektens skyld enhver har del og lodd	av samme rot den edleste er runnet.	0
Muren, vårt vern, er partiet.	Men sverdet er: Lenins lære!	0
Men da han kom nær til den annen strand	det ropte ham an ubendig:	0
for fortidens storhet, for fremtidens håp,	som åpnet ham synenes strålende rike,	0
turde jeg ta i min hånd	satt kjellen stedets ånd!	1
å spara litt på dynamitten! Bare bi litt nå!»	hu har sin egen fine sveis å mestre Kalsen på.	1
Jesabel sin husbond finner,	uten skrupler, uten snakk.	0
Muslinger besetter dem, og fiske går med bud	de perlehvide salte i træets fibre svider,	0
ja selv sin egen salighet,	for folkets redning, liv og fred.	0
jeg legger mine lang-skip fra.	hva dypest i mitt hjerte venter.	0
Ti rett og sannhet, dyd og rene seder,	en hellig ånd, barmhjertighet og heder	1
hvor fjellene skinnet når solen gikk ned,	og drømmene våknet i strålenes gull.	0
Er vi uten håp i vårt elende,	Skal din fiende din ære skjende?	1
Og denne strøm av vemod og av fryd	før Brages visdom sine prester kårer,	0
I tårnet klokkene raver.	Man synger en gammel sang over åpne graver	1
I deres sinn, av deres håp og kval,	Var deres hjerter utbrente og øde,	0
for efterpå med munn og hånd	men kun den svake lede vill.	0
Dit stundet han stadig. Og visst var han glad,	mot syd, mot Jerusalems hellige stad.	1
Han er eldet, grånet, bøyet,	speider, høyt fra skipets stavn,	0
Og Paulus selv  han trenger ikke mindre	og ønske bot for ensomhetens ve.	0
