0	1
inn	natt
skjendtselslast	lenkes
sove	kveld
sjø	ende
øy	tegne
hvit	du
endt	forbi
sønnen	beven
skjøt	land
minne	forlatt
tsar	ahner
lander	bukter
fjed	vind
falle	evighetsdag
prakt	vever
egn	sanser
slag	loser
hav	hjem
hundre	øre
veien	på
sår	farer
blund	sterk
ætt	minne
skikk	gåde
tjene	gru
sinne	trone
gjære	original
le	oss
bord	palmer
krampe	være
sletter	slukter
munn	gåde
før	klaret
dyr	gård
koloni	blod
vis	skjuler
fosforkammer	strømme
lyde	mild
luren	trykke
høye	lande
gjemme	ved
røs	skred
sider	minner
jord	falle
havner	gang
mange	her
tørken	mål
leie	fest
velde	grav
skrik	røre
briste	glans
tror	komme
klinger	lunde
ly	strøk
skjendes	kjennes
nasjonalteater	være
leve	har
under	stemme
dette	kun
menneskeferd	kyst
svøp	tigger
skuet	fred
forræder	beskytte
makten	hundre
sol	vår
deg	stor
fjorden	så
trøndersk-hedemarkisk	fri
morgen	dommer
pærer	flukt
likte	glad
granne	Hydneshaugen
avskjedsklager	huset
da	venter
Beveget	ro
båser	kyr
svær	klokker
lemmer	venn
kropp	ånd
skjær	elskovslist
veier	vind
vugget	formet
øst	mann
stunder	fører
vår	vestenvind
ramme	hånd
huser	hull
kreditt	daler
kraft	ild
kvinnelist	takk
panne	herdebred
øyne	ferd
hvisler	grus
skinner	hører
finne	nøyes
ned	bygger
pastell	maler
snor	grunnen
bedrag	stjerne
skue	ned
menn	kjenning
gjøde	ord
ørn	tvinger
skatt	selv
krusifiks	ting
preges	kjær
klinge	vis
lenket	ubestandig
løfter	reder
spøker	forbannet
slang	gjestet
av	hjem
fisk	bøtes
stønner	god
mot	lynget
hytter	pral
plage	før
spreder	brenne
hus	lagt
leve	bot
gledesstrøm	går
himmel	stor
glede	bånd
Kronen	forsøker
øm	selv
sanger	inn
bånd	fjell
omme	flokk
støpe	landet
ro	bud
verket	treffer
møye	røst
dyreham	siv
ømme	viden
spent	Borgen
spor	nåde
rust	skarv
smiler	stevne
svor	bløt
sted	studenter-fabrikken
pøst	mann
syd	tak
møter	for
himmeldrømmen	sjel
skuten	kjøl
besatt	går
bod	viet
stund	stumt
klynger	minner
figuren	Niirenbergerstykke
om	gikk
gull	grunn
hai	sabel
tid	tindre
forbi	overflod
kanten	spinn
røtter	finner
ny	bønn
stride	iblandt
skrevet	Gud
sanger-vår	sus
hendt	striper
duften	drysser
dør	eventyr
hjem	spor
såret	vente
stunder	klamrer
mile	se
hjem	sommer
gate	vi
vever	betvinger
fjell	venn
lempe	få
ren	mann
flagg	godt
skjul	krans
tro	symbol
skjul	kjenner
duft	føre
instruks	skinnet
dag	øye
stød	slippe
lytter	pral
knoppen	selger
eng	freder
sandet	bukten
morderstål	slører
fonn	selv
trær	velde
forstå	båret
bønn	gang
annen	sterk
bad	rider
loser	gå
blod	fot
kvesse	hen
bileskaft	ulv
frekk	bud
på	grenser
var	prester
vell	hedningesjele
ruger	uhellsvanger
vare	Gud
bytter	hedninge-livet
kryp	barm
steiler	pass
rullestenslyd	skrik
støv	satte
pakt	skjær
nøden	helligdom
flamme	høye
ord	smil
veld	stedes
frekk	går
klagen	svant
tinderad	fjelle
rest	piner
styrke	no
smake	hvor
sinn	bever
ravneunger	favner
ferde	ad
merk	gamle
ve	dommersprog
jeg	svinge
samme	ville
ord	tanker
ben	tollen
flytte	bygge
annen	mindre
på	vinds
rammer	preget
brenner	blikke
engang	høre
rønner	storm
slaver	komme
landet	temte
lære	sinn
farer	kun
hammer	seilet
Hør	stråleflor
slår	lagt
vind	lest
grønn	vakker
sæd	lurer
jord	inn
sted	dagen
treder	Mester
formår	offerild
kveld	jag
inn	krever
stor	tvil
sti	toner
lus	godt
menn	krans
menn	kjenner
skred	innunder
alders-smykke	lykke
toner	svømmer
bundet	frukt
sprang	viden
blak	menn
ruiner	toner
vær	lammet
himmel	streder
truer	harmoni
regjerer	hjem
kor	hår
sikker	leir
gang	pest
stride	trøst
deg	kår
sagt	sjøl
finne	feste
glede	ve
pergamenter	tidsfordriv
gru	sved
evne	tåler
lyster	falt
nytt	virke
bryst	krans
drevet	nød
eie	jeg
rykter	narrespill
sover	døden
egne	land
skynder	når
fornemmer	bær
rede	strå
rand	gyte
slange	hav
silhuetter	allerbest
prise	prøvesten
svar	Dyre
størst	makt
dekk	spor
hundreåret	dage
sletter	granitt
grøde	evighet
felt	strand
himmelbrygge	med
betrådt	krevet
skyer	fjelle
dommer	nu
jekt	tømmer
fange	bord
blod	gjemmer
flamme	øye
arme	behag
sønner	hender
grådig	røys
ed	sjelebod
etter	stengt
mange	blod
gløder	selv
dommer	del
var	åket
vover	Orienten
akrobaten	sjøgangsben
skinner	klynget
kobberskjold	truer
tande	siv
fiskerånd	ad
nord	harpen
branner	manne
ende	bølgeleier
samme	ånd
flenger	embedsskrud
mange	mod
bånd	lien
alene	brenner
smerte	drømmer
komme	vis
pjalter	tuter
vek	av
tørst	Norden
rede	munn
kilometer	vindusglass
herre	selv
ro	lede
dale	barmen
makt	briste
dør	le
tryllebundet	her
gjøre	forstå
år	alle
statsforfatning	liv
brente	skikke
stranden	oldingplager
stø	ut
stunder	hammerslag
land	trette
orm	svømmer
leir	lande
brud	makt
slår	sterk
hvem	du
sky	se
snegle-arten	bør
bryn	seil
hjerne	skall
sang	sjø
ur	folkeleikskjeder
meget	folder
egner	bjørk
velde	opp
stokk	jettekvinner
bestandig	den
rest	frihetsrigorister
stranden	peneste
bever	står
vannet	hav
bue	steder
seir	hermelin
strå	brenner
dødes	møtes
klemte	tider
ånd	spille
munnen	Mads
iver	øde
opp	sanser
tarv	mann
skam	nåde
ravner	rang
glemme	is
sag	lerker
én	til
gret	miste
gang	vier
skaut	ned
her	like
sinn	forynger
tøve	sør
hendt	piper
haller	furer
grunn	våde
flere	hav
tale	stund
fisk	ut
si	stikk
hop	storm
jøder	skjelver
mulde	komme
måneglødt-søyler	hytter
stund	sterk
opprørsleder	Henderson
til	strekk
fred	siste
kår	andres
fugl	isse
komme	sti
stø	være
mindre	kvide
palmer	tang
tilende	styrke
vet	tung
flid	hender
sår	dyrke
gå	står
behag	forbrød
kyst	mat
lur	dalen
blomsterbed	brede
straks	dødes
minner	bryst
brann	evighetsverker
soldat	hjem
duft	svunnet
forsvinner	år
gård	regjerer
dag	vrider
mén	rører
gang	rørte
stund	aftenrøden
vandringsmann	trett
glede	traff
slår	kaller
trykke	lyst
lyst	mat
kvedet	bøyet
dyp	inn
dag	pinsefest
falt	natt
tale	faste
vin	lande
skodde	herre
sinn	pest
kroner	bud
skinn	lend
stått	skrevet
forbi	himlen
makt	falt
rømme	makt
sky	jag
med	ild
lidt	skinn
sletter	hegn
ene	sår
symfoni	makt
sår	sang
Nei	ild
hel	spill
synger	vide
ridderslaget	stand
tunge	granetopp
gull	salongen
dekk	blinker
gud	makt
med	mine
brast	stene
været	ut
gang	lenger
frem	ut
øye	skje
nynnende	det
trekk	munning
bryn	hall
farver	inn
by	nede
ei	lundesalen
lagt	fart
avsted	vern
røst	hører
gror	spare
makten	en
Røst	drev
dager	peneste
rett	akt
stamme	meg
kimer	mine
rider	glass
inn	bukten
krenket	gjort
palme	kapiteler
sti	flenges
vårherre	lend
byer	vannet
brudehuset	hester
sterk	kan
frukt	trange
rett	snarer
kne	raseri
vinne	sekk
bli	blind
karmer	blussel
store	på
smuler	bød
kropp	akker
virke	jeg
gull	sesongen
granitt	daler
Profetmorderske	stad
veie	trett
skjær	løfter
treffer	grunn
beskjemmer	sommer
tiden	blå
kreditt	kvaler
driver	besatt
skinn	støvet
vite	av
lett	bange
evne	deler
vasser	kommer
igjen	stål
hell	beger
friste	vei
villhet	går
grein	dernest
stivne	øye
strender	flyr
gys	sanger
elvebredd	tak
skinn	behag
minner	bor
sett	naturen
drysser	hei
brønn	dugger
fest	Orienten
klynger	strand
under	pjalter
bud	ei
triste	melodi
finner	smal
kveld	Hergisheim
spent	kommer
gaver	priser
til	smertet
kledt	fanger
til	fiskekurven
klynken	død
nok	Storebingen
blidt	fjell
vinker	tordenslag
planker	nåde
røde	sommer
går	verdig
flagg	fem
korn	din
nå	bindes
tuer	deri
fjerner	..
inn	forlatt
dale	favn
plage	ånd
mæle	finger
ende	frukt
nød	gyse
nå	solnedgangsbrynet
trist	posen
sinn	tanke
arme	Rom
stormer	land
lære	forbi
trekk	bud
kåret	vente
været	leir
snøre	gjemmer
tilende	ned
folkevett	evne
duft	flytte
skrot	hi
akker	sei
bord	døde
av	vei
skåler	kyst
gleder	gror
sår	lever
fin	bar
runde	forpakter
brøde	ut
line	garn
røre	dale
endt	fri
brem	krone
inn	tynger
fugl	nede
betrådt	barm
favn	speiler
tro	glede
feier	velter
forgå	selger
trøndersk-hedemarkisk	slags
flammesky	skuer
viden	vekt
dømme	flenges
nykker	skår
hei	mann
Soldaten	dør
gang	hvileplett
fred	gull
kniv	bedrag
kyst	føde
toneregn	høre
sinn	stille
forgå	kravet
engstet	syner
over	Orienten
fører	inn
ned	lagt
trett	strømmen
rund	lett
nyter	ham
daler	fjell
til	velter
vekk	scene
skinner	sinn
igang	ord
helsebot	hei
før	bringe
gjemmes	løfter
vinger	annet
sprut	forskrekker
lyst	føde
gudeborgen	sus
SANG	vesteråls-sommer
gjerde	ad
mer	huset
røre	lemmer
pergamenter	liv
alene	strid
dåp	dag
bolig	selv
sverd	se
verdig	kinn
spiller	lund
gang	brenning
før	venn
vrimmel	skinner
øde	blod
sinn	lenger
vinger	landet
befale	mann
favn	lik
kryp	send
satt	slott
forøker	skje
himmel	tærer
strand	rosenskjær
fjell	dø
tant	orm
slår	stund
flammer	bringe
lend	tinning
mattes	skjel
ringer	verk
hånd	livet
ridder	lykke
grav	dåd
kår	tross
etsteds	fiolen
hyener	natt
en	fedreland
bytter	sjel
le	slutt
kjøpt	måde
flaskepropp	pinner
kaste	bunn
bo	øyet
øye	panne
bris	sol
Rei	dregg
Anne	du
utkåret	prise
fred	fører
kimer	vill
topp	sammen
Gud	vendt
regnvannsrenner	klang
sparer	ånd
mål	glans
tørke	hule
blidt	skinn
indre	grunn
ånden	fjell
bringe	flukt
sommerfest	kløvereng
tid	hell
gikk	fast
danserinner	før
fange	skue
felle	fritt
port	høye
breder	ynde
jord	bestyr
makt	flukt
hjerteynken	kravler
vasker	har
her	klippeblokk
avskjedsklager	avgrunnsbruset
bratt	jammer
miste	hans
rytter	lenker
tegn	tak
godt	makt
lag	bad
kirkekor	ville
lever	ro
rømme	grensefjell
stål	smelte
drakt	bange
rett	tro
forvrenge	stund
steder	flukt
ætten	skog
fugl	hvitt
kom	tvende
stropp	feste
inn	gang
elv	grunne
opp	strålebad
savn	løvet
forskrekker	kår
rede	selv
le	hvilen
grus	lo
fred	seire
bor	lake
vill	brak
glugger	krysser
nord	kløfter
makt	dikter
sverd	grus
flokk	favnet
lunefull	kulde
før	solskinnsglans
skikk	strengeleik
brede	trinn
pærer	produkt
minnes	forstemt
vårt	ord
flamme	nord
kirkesti	lund
gul	struper
glar	inn
snare	bestå
glemme	brøde
sne	øyne
narrespill	alter
hjul	isse
glemme	bris
ryster	slører
tordner	drøm
fang	eiet
fare	sky
gjerdet	milevidt
land	døpt
kryp	ende
nu	tindret
strakt	foruten
sprøyt	opp
gløden	kveld
ARBEIDER	29,8
hytte	beskytte
tavleskrifter	Gud
rullestenslyd	dø
bris	kaprifol
ø	lyd
ros	igjen
svinge	til
sprøyt	tåken
dør	slekt
slutt	sett
årtusen	brus
skred	vidunder
sund	hette
tro	foreskrev
piner	frank
ørkenbunn	by
stille	ler
skjule	tærer
hunger	hård
utsprungen	reke
trette	best
lærepenge	så
mil	tinder
strid	hender
kjoler	gjort
ø	falle
kryster	slører
mann	skikke
sønner	seier
farer	grenser
nok	grøde
tvinge	hender
hvile	liv
far	fremmed
skam	vi
despotiet	dravat
fri	overflod
stråler	mildt
tvang	hjemme
platå	slette
skinn	Rom
uinnskrenkt-monarkisk	fri
fjell	skjær
ned	muld
hel	ild
strengeklang	hører
liv	lund
takten	landet
vondt	myr
slott	brede
prise	Rom
bjørkeheien	på
brus	siv
gaster	rørte
glemt	kanhende
sett	fred
vind	sorte
med	prest
strand	rær
omkring	tur
lever	betvinger
fortolkning	sinn
især	ser
ris	lenger
frender	rene
klynge	bevare
gror	lysestake
bønner	hender
hammen	bra
selv	forfengelighet
netter	topp
strålevell	lande
hule	forstår
drakt	forårsfest
synger	hav
forgår	jorden
pretorer	han
beskjed	derover
vegge	vei
kamp	buer
kraft	styrke
plager	sagt
flamme	skjæret
øyet	vær
skjønn	vakker
Reine	fisk
morgenbønn	flom
bønner	god
betatt	jorden
her	kjenning
intriger	ny
skar	vandre
natt	løvet
røst	tro
mile	vinter-sne
ting	selv
drøy	gatedrenger
forfølger	syn
kalle	hu
fedre	sagt
omme	vannet
fri	stikk
skjæret	milevidt
skritt	Judea
tusen	selv
blinker	svar
gammel	kjært
vel	bålet
ord	gny
sti	jevnet
tre	dølger
hall	rinner
eng	si
forsamling	ganger
øde	sjelebod
drager	forsone
øy	gård
gjest	rede
svenn	så
henger	inn
gå	borg
gav	vet
kveld	hus
grunder	ånd
betvang	ham
stikk	fortaptes
graneholt	hyttetak
Anne	gikk
rør	ord
blinde	synd
lett	lamme
troner	sol
brud	symfoni
nød	kravler
fare	går
ren	øye
kongemakt	forvaret
vekt	nål
gynger	strå
sykt	Nei
klang	sal
straks	sette
krans	ender
skikke	tid
lyd	officer
rekker	bautastene
forlatte	hel
stå	tilsinns
befale	kommer
sloger	går
sprøyt	våken
svinge	lede
lamper	by
mildnes	sang
navn	øer
skygger	klør
vandre	randen
bygger	slør
notetegn	øret
regnbueøy	verk
preker	have
fødes	stillhet
venninne	meg
knuger	høye
børn	stilt
brott	skrevet
vannet	hjem
forpester	bord
tvinge	lede
stille	trikk
tung	støv
fosforkammer	speilet
gården	avsted
magneten	bringe
ørn	røre
pynt	fjorden
skred	stønner
lamper	sky
bjørkeheien	gå
slett	tror
tett	stranden
hall	grunn
frykter	slør
gjelder	vei
land	Cades-Barnea
i	mere
granitt	kvaler
nær	skrevet
stjerne	brøt
med	vrimmel
vrede	ve
dag	møye
målet	Hergisheim
møtt	blandet
idag	skam
liv	gleder
luft	jord
sår	klandres
bølgespill	stav
sne	morgen
ARBEIDER	seirer
lett	ild
blod	forlot
press	rand
strøm	øye
lire	klinger
nær	sporden
ridder	kulde
ære	truet
smil	strålestrømmer
brak	hevner
skal	hund
lunde	kummer
henover	åndepust
regn	dammer
flom	ring
lus	slott
kvalme	kretse
dør	sans
lære	original
Velg	ild
slange	altet
elven	løv
på	sand
sky	dekker
ene	borg
slett	evne
nord	palmesving
indre	føre
frekk	skrupler
KIRKEGÅRDEN	ga
morraspill	toner
kjær	haver
ville	meg
bøde	munn
slukkes	høye
deg	bunn
såmann	grenser
silde	evne
rager	baner
blind	guddomsglans
a	nå
ombord	satt
duger	plass
land	brud
lund	om
båren	prise
gikk	hang
deg	sommer
skyer	snakken
gryte	nær
mørk	tenner
tyranni	kjemper
leid	vegg
bringer	ild
dag	trer
blå	hernede
heder	fremtidssti
strålebad	lenge
strevet	ung
sagt	bolig
dikter	natur
ned	stund
kratt	takt
ramme	gror
pløyet	fjord
kjerring-hurven	kassevis
Reine	disk
skikker	forsøk
mer	trellehop
skofte	stutt
stiv	forandret
står	band
lå	fang
spor	ny
den	ja
flamme	været
klokkeklemt	tangen
finner	takk
forspilt	glede
trede	makten
vinger	gåter
filler	her
veve	vann
halmen	ord
nager	makt
storm	stemme
den	tåkeluft
såret	vann
frost	jord
nordlys-prakt	former
kammer	lemmer
møy	verk
åndedrag	fri
strøm	sten
gaver	gjøde
grunder	sønner
fjell	mø
henger	hende
arken	gror
dale	være
kan	tager
spor	kjerr
feier	kne
rammer	blind
vill	revner
forløst	muren
blond	oktoberdag
nær	ving
sans	bedrøvet
hender	flod
ånd	selv-ironi
armer	blussel
igjen	by
helsebot	det
lagt	ser
tross	vil
skjønnhetsdrakt	sale
tårer	blikk
have	poteter
rundt	munnen
svinner	høye
lidt	støvet
pels	vann
besøk	plass
bunnen	vann
hete	føk
menn	som
dette	trygg
hvelv	herre
menn	til
verker	ord
til	grav
skanse	toner
vinning	ran
glans	tvil
kjemper	stammer
øyet	havn
sluser	fødes
krone	godt
dørk	jager
stål	velte
nær	ser
åssen	trøtt
tre	båt
jord	brus
bever	lyd
lønner	pryd
død	klinge
gru	plassen
forretningsreise	sis
år	tone
tinder	breder
fjell	sommer
slett	siste
verdensstat	mere
rønner	form
men	finne
være	skjelver
himmel	munn
vil	mild
glad	tror
lokk	favnet
fugl	sorgen
se	svar
salighet	svar
virrer	kongestor
står	staven
ærend	låt
bølgefall	rinner
velte	briste
alt	tenner
stund	slag
savner	står
himmel	tidevann
skjønn	begjærer
lede	hender
nær	fare
gang	aftenrøde
ild	prater
stunder	stemme
trang	nøttene
høst	hyttetak
kjekkhet	C.-sentenser
slike	Nasareer
munn	drikke
blåst	ro
morderstål	hører
to	ser
blesten	tak
lik	snor
forstandig	den
forræder	før
tinder	dekk
fattigkassen	kryp
bord	latter
gjemt	grunnen
skummet	risp
broderrett	kun
ned	vann
fatte	underfull
lo	jord
rennesten	kloakk
sped	døde
godt	fem
munner	klinge
oppe	meg
lunde	slummer
Stokmarknes	mynt
støv	steile
forvisst	klaret
lever	feile
menn	sår
svømmer	vann
fjær	jag
skjøt	...
visste	lys
frem	lunge
skarn	blak
svenn	saksen
vannet	sjøen
steder	gjenoppta
hær	en
sti	gården
glans	støvet
gjort	vise
syn	horn
tar	havn
ny	igjen
lære	fri
kår	alle
bryn	fanger
svar	raseri
klang	dal
triller	lund
kammer	smertestønn
behage	ned
stille	larm
blod	kår
regnbubro	himmel
forslår	gås
signal	matte
røst	rår
skaper	ild
skrekk	mildt
falt	fjorden
annet	forresten
blikk	gjøre
derpå	rett
seir	rede
dynd	skrekk
revner	ring
Syden	svever
står	skolen
gikk	bileskaft
øyet	fengselsmur
fred	jern
bakkehell	makt
steder	krone
pris	kvinner
ile	farer
spille	fri
strand	tid
befrierverk	land
hest	lur
flamme	brud
snakke	takke
spor	runding
sønner	ritual
går	gater
nese	ord
kledt	ild
forme	dal
praleri	oppe
inn	rapporten
jord	tider
sang	fri
bringer	vill
mildnes	høre
skrige	klynke
beredt	bier
fortæring	flid
ad	belte
ord	slave
bringe	rumme
glede	rør
bevet	søndagsmorgen
fri	eventyr
frede	renkespill
SANG	kaller
hyener	forlatt
båt	steiler
kilde	hånd
fjell	øyelågsvingen
tryller	trylleri
meier	det
blikke	ve
strekker	bautastene
elt	strand
støv	fatte
én	døde
morgenbønn	lande
løv	steile
flamme	Tor
kyst	brukt
tilgode	forsmår
felle	år
klippeblokk	landet
ære	strøm
vet	gløder
selv	grå
sten	rovdyrtenner
kvedet	Baal
spretter	topp
gror	spinn
fare	rygg
skikke	pjalter
åpenbar	stunden
krevet	bud
ud	ømme
forgår	tone
svinner	tider
forgår	svinner
skam	sviktet
sand	stavn
bedrag	Ene
spredte	gikk
partiet	bære
ville	Røst
lavet	nypetorn
luft	meg
gå	vender
rune	skaft
omkring	været
mylder	skar
land	tager
ville	frihets-stevne
alle	ned
gry	kammer
opp	stanser
stor	mange
dyp	stund
lekte	sildring
bord	bestyr
rund	slaver
ringes	svake
rene	lykke
hender	bolig
bord	sort
stort	myr
bud	se
ut	solgull-timen
mastetopp	sprekke
skrifter	pral
prest	under
sten	tollen
lønn	forvandling
slår	makter
sak	teller
hvile	skikke
satt	gled
hvilte	blå
tinder	bruk
matt	løvet
ætten	hånden
makrellen	liv
var	sne
skygde	omsider
tømmen	stjerner
farer	styrke
tretaburett	gemakker
seilet	saltet
flamme	dukkes
sort	jorden
røst	gjøre
Proletaren	ler
dynd	døden
sol	bånd
mulde	tomme
seterbua	topp
prakt	kjøkemester
slaget	stand
hernede	saft
skatte	verner
ei	skikke
bønner	seier
gåde	storme
lys	arm
blank	ø
land	mor
garantier	skaft
lakeien	befale
venn	ende
morgen	hånd
alene	gryr
ikke	flamme
to	kjært
sund	port
bileskaft	eik
være	faste
