sent_a	sent_b	rhyme
Guds tjener ligger  lik et stormslått tre —	og tifold tungere er folkets klager.	0
Og så hales det opp av det blå-grønne sluk	et fisketungt, levende, dyrebart bruk	1
i kveldingen går vi på runden.	med solstrålesmilet om munnen.	1
en meter fra feste til feste.	og egne for natten med lodde og sild,	0
blir aldri sagt god natt!	fra kvelden dør til dagen tar fatt,	1
Det kan ei den hvis ørnesinn	har suget himlens klarhet inn,	1
I åndens dybde ligger skjult verdien,	et innbilt lys som ut i myren fører.	0
Rolig drømmer ved dets fot Homeérs berømte by:	Gamle Troja, stolt, besunget, sterke helters lyst,	0
hit nådde ei ennu forfølgelsens klør.	som alltid stod åpen, årle og silde,	0
og skyter sikkert, hogger djervt og kvast	før folket føler seg i salen fast	1
hun vraker enhver som er gammel og svak.	Jehova hun fant både karrig og skral —	0
den samme lykke, den samme tro,	den samme lovsang til mesterens ære.	0
fagert under Folgefonnen.	pinsefesten var for hånden;	1
Han som skulle svøpen svinge,	gir han vekt sitt minne til,	0
oppstandelse på fedres grunn	En ungdom som er sterk og sunn,	1
Der gikk det nå et dragsug og valset omkring	hvorav jeg ble den lykkelige finner!	0
Den kan som smugle-gods man liste	inn over grensen i en kiste!	1
på filmens allerførste skumle kott	Hvor eventyrlig og hvor fjernt og blått	1
Svaret falt hvast, det bet som stål:	men lydløst det vokser som aks av korn.	0
og alle dikt til mitt vinterland	mot sol og sommer og søndenvinde	0
på skyggeløse sletter, hvor livet er en blund	uten værlag eller år.	0
Jeg fikk ei lov,  ti mine hender	for trette sinn en styrkes flod 	0
ville du meg mer?	lokker meg og ler,	1
kjennes som en frukt der vil falle.	som skiftevis må lægges i dem alle.	1
ranker seg opp om din skulder,	fyller din favn,	0
Vel raser mørkets drott,	befestet er hans slott,	1
Og doktoren lytter til hjertet som slår	så sender han bud etter nadverd og prest,	0
den gang de høstet inn de første bær.	Og for en middag, da de første små poteter	0
om i høsten, somren, vintren, våren;	like kjære er meg morgenrøden	0
I farten slapp han grepet i trapesen	og suste som et svalevinget vesen	1
Vi kjørte et par kilometer	på høyden med lynende vindusglass!	0
Og byens sang	er klokkeklang	1
han hersker over folk og land,	for regn og storm, for ild og vann.	1
og den hjemlige skikk,	vi fra fedrene gikk	1
rimektig, bronsefarvet, skinnende i solens brann,	Og som skipet sakte glider nærmere mot land,	1
forvredent og vilt som et størknet hav.	til alle sider, så langt han øyner,	0
herjet det hjelpeløst. Sultefors kost	Du kom som regn til den smektende vår!	0
«hvis du er Guds sønn, den kjære,	deg i dette dyp å kaste.	0
hviler seg på armods hynder,	uten arne, uten leie,	0
På gløttbotnfiske med pigglodd og snor	hvor fiskene tumler på bunnen!	0
det kom ei fugl fra fjellets li,	og ingen kilde rant forbi.	1
om deg jublende og hyllende,	luften med lovprisning fyllende,	1
hva stort han bygger, går og i grus.	Med seir fra Moskva til Kartagena	0
århundreders forløste trang	ett vakhold kun om frihets-pakten,	0
Med avling og torv og vårt redskap i hus,	når hevden på marken vi sloger.	0
hos denne norskhetens filisterkaste.	Her har man lov den søte frukt å laste,	1
de gamle skrifters dyp på ny.	fremvelder kildens friske vann.	0
som evig, blide fløyter er oss kjær!	som visste hvorfor det er øde her!	1
den redde og flyktende blomsterduften.	og ikke kan kjenne i gateluften	1
hele egnens øde dekker.	telt ved telt i lange rekker,	1
en langsom kval, en håpløs gru,	en natt hvor ingen stjerner tindret;	0
Jeg skulle se deres rygge	de evig tumler med.	0
Men underne øker, hør ordene slår	der tales og spilles i stue og hjem	0
Men hvor hans øyne strålte, hvor ømt hans hjerte var	Hans gjerning var den samme: at livet måtte skje.	0
Det er kjolen jeg lovet at gi deg	de hedeste av mine ord.	0
gjennom hele Lilleasien, fra sted til sted,	Ingen Herrens aker blomstret, ingen blomst bar frukt.	0
hvor havsbåren fyller hvert vinddrag med sus	Mer malerisk skjønt under himlenes prakt	0
«Spar dog ditt liv! Vi er alle tilstede.»	Å, hvem har dog bundet Den Høyestes venner?	0
og Stortinget, forfatningen forresten,	Her er jo rik anledning til oppbyggelse:	0
Så vet Elias. Milde ord	ei kjæle må, men bruke sverd.	0
Det som hugen tenner og hjerte-troen får,	og trofast slår.	1
og stuper seg valen til fyrlampen ned	når jollen er festet til hampen.	0
tungt dem faller å forstå	som til sendebud jeg kåret.	0
Min klippe, min festning, min redder og dommer,	Lovsyng ham til fløyter og harper og trommer!	0
og stanset hvert tog og hver bil?	og himlen i Lancashire ler!	0
Liflig som sang er ham dagens besvær.	sin nyskapte haves frodige ranker!	0
Siden gjorde jeg mange	og mindre og mindre lange.	1
men noe hendte plutselig min stemme,	Jeg skulle hilst Dem fra vår gård der hjemme	1
er billedet av stakkars Kristiansand.	og takker himlen og det salte vann.	1
Har byens gater rennesten,	skjønt byen har jo, gudskjetakk,	0
mot vest av sletten rolig løfter	mens dagen trett sitt leie reder,	0
har de blåsorte tanglepper møtt.	En evighet går. Så hviler den blødt	1
Herre, tag i din sterke hånd	Send du din verdige helligånd,	1
Således satt jeg og drømte,	en himmel av frossen fred	0
Han prøver  kanskje hun er kåret:	gå, hent meg straks et beger vann.»	0
er jeg luften eller er jeg vannet,	avgrunnsdriften eller himmeldrømmen,	0
Jeg møter en gamling i filler,	på lire i gårdene her.	0
og skulle med sang sin plogfure drage.	lokker den hjemløse hjemmets lyst?	0
o hva det er for en lykke, en lise,	gjenfandt jeg bare den mildhet tilsidst.	0
Folket skal velge: Jehova eller Baal.	Vi møtes på Karmel, ved Kisons dal.	1
her er det sol og vår.	i glans for øyet står.	1
Han er dødt Med ham vår skam,	Gud skje lov, det var ei ham.	1
bud de trenger. De er rede	i sin Mesters spor å trede	1
Min fars snart synke skal i grus.	din herskerstol med seir betrygge.	0
syntes han det lød fra ømme	«Opp, Elias! Nøl ei lenger.	0
man knuser nøttene med skall og kjerner.	av tankefinkel fra de tomme hjerner.	1
Kall danserinnene frem! La oss bringe	Syng kun og dans, på fedrenes vis!»	0
Det suser med fugl over sjøen	det er renning i skjærgårdens vår!	0
sin eventyrhest for sin hvite gutt,	mot stjernenes sølvstøv galer.	0
med stivnet bryst bak tåkens flik.	han måtte svale hjertets nag	0
O ensomhets redsell — På vaklende fot 	men søker forgjeves; kan ingen finne, 	0
langs nykenes revner og hyller.	Den sitter i ura og rugger seg litt	0
for sommerens tid er om kort  også drøy	bak skodde og drivende skyer av regn	0
imens de hører, tror og synger.	så mot og minner seg forynger,	1
Så skjønt det var i lyse sommernetter	det runde, mørkeblåe berg i vest!	0
Han som torde selv ved kongetroner	la en slått henover strengen gå,	0
venter og stunder med uro og beven.	Dagene lange han sitter ved veven,	1
Saul stod tilbake i belgmørk natt.	De spørger seg frem i den fremmede by,	0
Så døm i lynet av hans sverd	Når spendte vi vår viljes stål	0
Snart er vi ganske ringet inn	fra øst til vest.	0
Du ønsker: la hans natt bli god,	la fly den stund han har forlatt.	0
da setter det budskap all verden på kant,	og skipene tøffer og damper.	0
og nedbryte avstandens skille	sitt larmende orgel skal spille.	1
i de tuseners barm: det er sultens gru.	betegner hans stilling og viser hans makt.	0
og breen skinte i det blå Nevada.	Jeg møtte vårens engel i Granada.	1
i lystens og i lastens lund.	å kneble den farlige munn,	1
Det er ingen tvil — han er ganske nær,	Hva vil han blandt Safats ringe svenne?	0
Tiden heler strid og sår.	Dog, han lenges. Mot det fjerne	0
at dens ullrull er svarlig å skjære.	enn at utganger-smalen kan være.	1
som andres velferd, andres kår	for verdens store ve kan glemme,	0
som fører hans verk mot fullendelsen frem.	en flyktende skygge, et skjelvende løv.	0
Det hvilte en glans av de dage	i den lave og fattige hage,	1
At gyllen sæd kan vokse rikt på sletten,	at Norges sønn kan fryde seg i ånden	0
Med en smule kvinnelist	«Nå, min venn! Jeg tror forvisst	1
De finnes etsteds i syden,	er gyllen og blå og hvit!	0
i den store broderkjede.	alltid til å råde, lede.	0
med klarnet blikk og luer i sin barm.	Hvor skjønt! Men her kan kampen deg besjele	0
mellom hoffets danserinner	Med en smule kvinnelist	0
Ei engang hans kårne venner	ikke én hans kall forstår.	0
ved Beersabas friske vande,	der fikk han Guds løfter sanne.	1
Her vokser ørnens vingefang,	her tuktes han til hellig id.	0
De grep sitt offer og slepte ham hen	og gjestene fulgte i vill uorden.	0
jo mere vind dess bedre gjennom luren.	om Norges odelsmenn og frihets lykke.	0
Han prøver  kanskje hun er kåret:	Og kvinnen lyder. Mere lett	0
i profetens hånd til et kongespir,	ei regn eller dugg i de kommende år	0
berømt for sin sild og sin tunge!	For salter enn silden er fjæringens ord	0
den stod der svart og grå, og ikke grønn,	Men jeg har engang hørt at en araber	0
Mon du er den som alle søker?	for tørkens skyld som herjer landet.	0
i denne gyldne fred;	til bolig for seg selv	0
Og sædens vekst kun syntes svak og sped.	en hellig ånd, barmhjertighet og heder	0
Da hørte jeg en røst som sa:	Dette er ditt eget ansikt under Guds hender,	0
dempe avgrunnsbruset	rundt om huset.	1
Så vender han om for å slåss igjen,	er han slitt itu!	0
«O redd ditt liv mens natten breder	og du er trygg. Gud Herren leder	1
Kun for å slepes til fengslet avsted.	uten forklaring, forsvar og vern. 	0
du fulgte ætten på dens nye vei	om femti år:	0
jeg er helten aldri falt i krigen,	elskeren som elsker uten grense,	0
En kraftig røst hos tyrken eller paven,	M og fletter løvet omkring narrestaven.	1
Det er vår strid.	bli viljen gjennom mørekets tid.	1
han kjenner vår skapning, han vet vi er støv,	en flyktende skygge, et skjelvende løv.	1
Jeg gange må tilgrunne,	til deg som kan bevare	0
Det ropes høres over alle hav.	Fra himmelskraperbygg og gruvens grav	1
selv det høye råd ei enser:	larmen vokser til en storm:	0
Og nå dere setter dere til aften-hvile	nå vil som solen over vinter-sne	0
som med smil og varme hender	som en velkjent venn og bror.	0
I frykt og beven og i svakhet stor	Og tn for én gav akt i storbyvrimlen,	0
Men ikke her inn; for ditt rinnende blod	Lukk porten! Der er han igjen i din fot	1
Og på Ham de kunde tvile!	hvor de ser slik lysglans funkle,	0
Se somrens liv	den grønne andrik med sin blide hun;	0
egypteren la år til år.	i sjelens bunn. Sin ungdoms sang	0
langs nykenes revner og hyller.	mens havet i tangvasen skyller.	1
Dagen skrider frem som en herre i sitt hus	og vekker alt det sovende til liv.	0
Målet? Senkt i blide drømmer,	kysset av de unge strømmer,	1
En liten kvinne, kanskje tyve år,	som suser gjennom verksted og fabrikk!	0
Men Eivind Bolt, den gjæve svenn,	den røde munn han atter så,	0
Ennå, det ord som vi nødigst vil si,	gjentar vi nå som en lykke.	0
Inn fra stupbratte egga fra bankenes rand	for i strømvannets evjer å gyte.	0
«Vær ei forferdet for dødens vei,	tro kun på Gud og tro på meg	1
Med evigheten er alt i pakt,	står brott på båer og skjær.	0
for et øyeblikk hans munn	sine synders beske ve.	0
Vel er hans fremtid skjult og gjemt,	men ett han vet: den er bestemt	1
Mektig Gud sin gjerning fremmer	blomstrer det som vår og sommer,	0
Gikk alle konger frem på rad	i all sin makt og velde,	0
skal dette beltes eiermann	snart bindes fast om herd og lender	0
har ord og løfter i din munn?	Du bryter dem i samme stund,	1
Kjempene skavedes fra hverandre!	Ett var de før, men måtte forandre	1
og moret seg blandt skjøger og slavinner,	i gjøglerstas og med bemalte kinner,	1
torde dog den ene finnes,	hvorom helvedlenker bindes.	1
om det som de tankeløse mennesker har forlatt	jeg har tusene ting å fortelle	0
her rant den sol hvis glans	til jorden helt er hans.	1
Er Israels adelskap ei skrevet	har Herren angret løftets ed?	0
i dette lastens ville mareritt ?	En fremmed vandrer i den store by,	0
Kvinner og menn i Marias bolig	lytter til ordet fra lærernes munn.	0
og mange tusen av hjemt det var	som landet frelst ifra slaget bar.	1
og brottet som i utkant av sundet alltid gikk	Plutselig stod Stauper igjen for mitt blikk	1
når folkets klager sønderrev hans sjel	og han var trett og ensom inntil døden 	0
og tifold tungere er folkets klager.	Hva har hans gjerning båret dog for frukt?	0
imot en mektig fiskeørn,	som svever høyt og stilt.	0
Men derfor er vi stadige fornektere	Her kommer en av norskhetens forfektere	1
Ja, ro deg en sommerdag halvtimen ut	hvis i larmen du ikke forskrekker,	0
hva forlengst han burde glemt,	detsom gjør et sinn forstemt.	1
og skaffet seg vinning ved hennes elende.	løste Paulus i kraft av Guds ånd,	0
med større kraft enn fiendesverd	i Pauli såre hjerte flenger.	0
de blodige patrioter, fremst i frihetens hær.	Det er som å splitte et vennskap, hvis vi vil nevne en.	0
Til høy og lav, til slott og hytte	den finner vei. Ei gull, ei prakt	0
Åldri synker overhyrdens hender,	Gå så villig hvorhen Gud dere sender.	1
som styrtet til bordet fra vollen.	og går over fjærsteinas tangvåte røs,	0
En skygge som svinner, et fallende løv.	da stjernene tendtes, og verden ble ny?	0
Rider dem en redsom mare?	måtte alle gå til grunne.	0
et par massive, rommelige rammer	er kvintessensen av de bitre drammer,	1
det var en høyst besynderlig mann.	han lot seg forstyrre av former og skikke.	0
Men alle de drepte på ærens mark	de utstøtte bare et uhørlig hark,	1
tåken sin kappe samler	innenfor tyst det famler,	1
Vel dempet tiden hjertets brann,	han vanskelig til taushet tvang.	0
det volder hans hjerte ve.	Og Isais sønner, de eldste tre,	1
dypet knuser jeg som glass en hammer,	gjennom eteren, og altet speilet	0
Svensken sier, våre minner	have tapt sin glans,	0
Forvirrede flokk — en Messias som dør!?	Kjente de skriftene, måtte de se:	0
Hvem er han?  Han er blott en dødstrett mann,	og for vår mor!	0
av bjeller og ringlende ridetøy-.	No var det nær — det kom over heien	0
som en folke-trang har,	da ved Hafur ditt ætt-store merke vi bar.	1
og ilden kaster sitt skinn fra gruen	da høres de nattlige skarers ritt,	0
Atter kan vi leke, danse,	kryste druen, og bekranse	1
Frosker, mygg og pest og bylder	land og folk med redsel fyller	1
Men ved arnens matte flammer	på det gåtefulle under,	0
høvdingen i embedsskrud,	Ørknens sønn med solbrent hud,	1
en synder på jorden som nå skulle opp	og sitte i celle igjen.	0
deg bøyer trett mot nattens blund.	du går fra leiet, glad og sterk,	0
så tynn og bleik og liten, rent et pust i sivet  pist!	Ja, for Kalsen har en ungeflokk og verden er så trist,	1
gresset blekner bort,	sommeren var kort,	1
De ligger i rekker, i tverrdrag og ring	og gjør omkring vannene stupbratte  sving,	1
Det blendende lyshav sluktes bratt.	Til Damaskus han kom, blind og knekket.	0
bløte og bevende	helt kan få kvalt alle rop alle skrik!	0
det som over Halden beltet,	det som over Adler veltet,	1
vår fryd, vår strid er én.	er livets prøvesten.	1
og rette ryggen, mens du ser i skyen:	Nå har du glemt de lange, onde år i byen.	1
Men hans styrke er kun skinn	ledes selv. Hva mengden vil,	0
som vandrer i vinden hjem!	hvert vindpust bærer det frem.	1
skjærer skarpt et veldig lyn	gjennom natten, tett og sort,	0
Det gløser og slukner, en isnende blåst	piper i myrer og mo.	0
Skygger av de falne fedre,	som har aldri visst det bedre	1
fulgte vi siden en hersker og priste ham blott:	Slik ble det herrer og treller. I ondt og i godt	1
fra troens spente stål. —	mot nye, større mål.	1
Bøy deg! Tilbed! Vi forgår!	Ingen, ingen ham betvinger.	0
dit inn hvor malmen årer skyter.	Din tale er den gang som bryter	1
så jeg må tro det var verdens kjerne	jeg holdt i hånden hin sommerdag!	0
Brottet har dog nådd den,	sten på sten er løs.	0
et evig rotskudds kummerlige frukter	som solen varmer og som regnet fukter.	1
vokser til folkets og kongens dommer:	Du, som forstyrrer Israels land.	0
grubleren, med rynket hud 	proletaren, driftens slave	0
med friske knopper i den myke topp:	Nå rekker atter den mot lyset opp	1
om du sier at du slet deg opp fra bare visergutten	Du er avdød, skjønt du spreller med din kropp.	0
når ham gutten åpenbarer	øver under fromhets dekke.	0
troppens ferd i byens gater	kjekke, modige soldater.	1
hatets bitterhet ham lett	imot dette visne, lamme	0
Men i deres hjerter: en stor og høytidelig ild!	Så bruser en kampsang, begeistret og vill!	1
og flyndren på fatet den er som en fest,	med vinsjer i skipet av havet hun dras,	0
sang jeg om et kyss	Nei, det gjorde jeg visst ikke.	0
Forlat meg ikke, du min frelses klippe,	utslett i nåde alt hva jeg forbrød.	0
og granske hvor en foged får sin rest.	fra våre gjæve frihetsrigorister,	0
Ti alt hva vi i livet aner	er ledet av samme drift.	0
jo mere vind dess bedre gjennom luren.	det trumfes fram et Niirenbergerstykke	0
bort mot det fløyne,	du som fikk øyne,	1
Dog — rykter svirret på gater og streder	Iherdig de sådde sin vingede sæd	0
der ligger de nyker og vær ut i Bø,	Men lenger mot syd i den gyngende sjø,	1
det ligger lik bak bjørk og lind;	som risler gjennom sølv i fjell.	0
og inn i sitt hus. Deres verkende sår	men stille og fryktsomt han frem den bærer.	0
legg deg inn til meg og du skal høre	Jeg er røsten, du er jordens øre,	1
det første skrik over været	hvite som nyføgen sne,	0
endelig den store time,	Nå har folket lært det ene,	0
Se deg omkring! Fra ende til ende	spebarnet dør ved det tørrede bryst.	0
Og vindstøtet truer	imot avgrunnens rand som et seil av skarlagen.	0
i de tuseners barm: det er sultens gru.	Plutselig går der et rykk gjennom massen 	0
Aldri var øyet så fullt,	som det i vemod og hast	0
mintes en stormnatt vi klumpet oss sammen som får,	og da vi skjelvende hvisket: Hør gudene går!	1
Er vi uten håp i vårt elende,	Makter ei din styrke hva du vil?	0
og villig styrer sine skritt	I rosers flor, i somrens skrud	0
men mor vil gråte ved mitt navn	Min far han tok meg ømt i favn,	1
Solen strør sitt purpur på dets fjelles tinderand.	Nattergalen synger i dets lunders dunkle skjød,	0
til Herrens tempelbygning sten på sten.	Som kløktig bygningsmann han gav seg tid	0
skjønt her er det sjøkallen fisker.	Her fester han tauget i krake og dregg	0
Jeg går på det gule marøyesand	og lagt for bestandig tilrette;	0
hvor luften ikke toner blødt og blidt	på skrå som hvite striper gjennom støvet,	0
og pynte den med stas som du må borge,	og så la Karlsvogn eller nordlys tindre;	0
Wessel og de norske gutter	fikk den svenske flaggfregatt	0
Dere bøyer inn; jeg må vidre kjøre,	Godt mot! Du hilste på fler enn meg,	0
gleden skjelver gjennom leiren.	Folket takker Gud for seiren	1
i dommerskrud og med gylne snorer,	sin urett imot dem.  Og ber dem så drage,	0
Stråler for ham fra det høye	skjønne syner langt av lande?	0
Eer, over alt som splitter og krenker,	her lutres hans sjel i stillhet og bot.	0
med knuppene i svøpet, med gresset fra ifjor	og snart med lysets ånder skal tale!	0
Anede templer med måneglødt-søyler,	rider han mot, den ensomme rytter.	0
så sløres skal hans klare dømmesans.	ti denne storhet dårer selv en  Gud.»	0
bygg nul det finnes ingen annen gang.	steg buene tilværs i lys og spenning.	0
Skal de aldri mer få knytte	Skal han aldri mer få lytte	1
løftende land i din ild-hu, ditt lune!	tyder hvor du tok din kraft,	0
Og han ruster ut på stand	setter han sin fangne gjest	0
å drømme mer. For ingen undre skjer.	to mennesker, som aldri mer vil bygge.	0
Det har egget meg til strid,	derfor må det nå forbløde,	0
Før vi tramper ned og skaffer	Tvers igjennom lov til seier!	0
med egne savn vil ene fremme 	for verdens store ve kan glemme,	1
men minnene taler med brendingens stemme	I vår og i vestenvind der har jeg hjemme,	1
se vi er ved verdens ende!	nye strender, nye bølgeleier.	0
Fortidens store står rundtom, knapt kjente	Vesper det ringer, i rødmende luft	0
Ti jeg aner tunge tiders farer,	for å fange vergeløse små.	0
Disse menn med åndens glød	trofast under sannhets merke	0
«Jeg trodde før at der var lagt	at Herren taler ved din munn.	0
skinnende i solens lue,	dikteres og fyrsters hjem,	0
så har vi da skarven så svartmalt han står	Men har så hver husstand sitt svarteste får	1
Slik har den ligget og glinset i skumsprøytets skodde	Drømmende hviler en glans av tidløshet over en odde,	1
og de deles, som så ofte før.	lett han snor sin kappe til et rør,	1
og hvor furuen, granen og brisken	som stiger fra dragsugets hvisken!	1
med evighetens gjenskinn over strevet.	når solen rant den blide søndagsmorgen,	0
Da får du styre over halve riket,	sin største skatt, sin egen lille pike!	1
Ei heller derfor hilser jeg	med sangens fane nettopp deg,	1
og vite at toget er fremme	på veien til Moskva, Paris eller Prag,	0
men han har vel g med sine strenger	sådan halling, som når han gav klang;	0
og gjør seg i naustet et ærend.	Da hører han tydlig den taktfaste låt	0
Søker hans skarpe tanke å råde	synenes mylder i skyggenes dal?	0
og hvorledes kom du hit ?	spør: «O Mester, til hva tid	1
går åndens lynglimt i de dype drønn.	der den vil vise verden sin forvandling.	0
Godt mot, du vandrer på kirke-vei!	ti bønnen bærer et stykke frem	0
mektige fjelle tar det i favn.	Dens skjønnhet og prakt mellom yndige øer	0
snart skal Jehovas arm hans sjel forferde.	Snart knuses skal til støv hans styrkes skjold,	0
den stod der svart og grå, og ikke grønn,	har sagt om ørknen sin, at den var vakker,	0
klart stråler styrken fra det høye.	Ja  Gud er med haml! I hans øye	1
Vel var dens klædning ikke villvinsranker,	har sagt om ørknen sin, at den var vakker,	0
Men hvis ikke,	så hans djevlevesen vrenges.	0
og skyter i skjul sin pil.	gift er hans øies smil.	1
«Så falt hans ord.	«Jehova!  Se så der er det. Jovisst!	0
heltens tunge smertensstønn,	folk som ser den nære død.	0
med hvese hvin og gispen	og tam og from som bispen.	1
Her mellom stenene ligger jeg trygt,	intet som smerter ved tanken om døden.	0
alene han kjempet i angstens natt.	vår synd har han sonet, vår brøde båret.	0
Saul stod tilbake i belgmørk natt.	Til Damaskus han kom, blind og knekket.	0
og hodene står meget mere faste	hos denne norskhetens filisterkaste.	1
alt sang hans pris i tidens morgen.	alt var en sang, et toneveld,	0
Min synd meg alltid står for øye,	din tukt er vis, din lov er rett.	0
og mot vesten vandrer skyen blidt,	til de fjerne bølger	0
Ja, så var hans tro. — Som en forårssang	hans ungdoms drøm var en vingeskutt fugl.	0
Barnabas, den modne venn,	og de spede ranker binde.»	0
I skogen smågutten gikk dagen lang,	gikk dagen lang;	1
der jeg er blitt en vandringsmann,	var lik det stille sorgens land	1
gjennom hele huset!	ingen skritt på gruset	1
Begge de karene ville ha det med at stå.	Blir du trøtt nå, Buggingen? det er en streng dans.	0
med blanke øyer ut i dagens lys.	Nå skal de ta seg fri og det med renter!	0
I buktens siv	med fisk i fjorden, sol i værbidt lund!	0
hans blod vil vi blande med gatestøvet.»	Av splid må ikke vår flokk bli kløvet,	1
og siden  siden feigt fornekte.»	med skammens rødme paå sin kinn	0
Men det er lenge siden slik en drøm	fikk svi i dem.	0
For det er håp for denne stolte stamme,	la meg atter heve tåkens flor	0
for Herrens ansikt fylt av sorg og ve.	Akk, tifold hårdere er kongens tukt,	0
da er din jubel en forvirret tale.	Kan klippens fé ei til ditt hjerte dale,	1
Nå er det en som gjør seg sine tanker:	den stod der svart og grå, og ikke grønn,	0
så tvinges ofte selve jomfru Olsen til retrett,	for det hender jo hun selv ser livet sånn i blått og violett!	1
Judas, hva er ditt ærend hos meg?»	han smiler imot ham: «Venn, er det deg?	1
Himlen blåner, havet drømmer, 	i dets lette hildring svømmer	1
Hvis Herren er Gud, så gå etter ham!	Si frem deres tanker! Bekjenn hva dere tror»	0
når jeg for Vor Herre står.	måtte ikke skjemme den ud!	0
titt seg gynget,	han betrakter, 	0
I natt og mulm og tåker tidt	Det tar med beven skritt for skritt	1
det løsen vi fikk med	mens han for livet stred.	1
og igjennom strålende portaler	deles bratt den mørke tordensky,	0
Hans ildhu gløder i synenes glans,	Den ensomme reise, mil etter mil,	0
Og hedningeskarer som børn seg fryder.	brer seg riket ved ord og ved tegn.	0
De styrter mot jorden,' de river sitt hår,	sin panne mot alterets stener de slår.	1
Derfor, om enn dødens gru	engster meg i sinn og hu,	1
Fra rummets dypder kom der blest og mørke,	med skrik fløy om i vinternattens hule.	0
Vekk fra gaten troll og buser,	tullet inn i ull!	0
Ve deg, du skjønneste blandt lande !	Ditt blod! — det blandes med flodens vanne,	1
Kan aldri et menneskehjerte makte det bliv	Er bare for et øyeblik, bare for et liv	1
ti denne storhet dårer selv en  Gud.»	Så vil han villig knele på mitt bud	1
skal den rustes ut  og gjøde	hvis et øyeblikk du tror	0
en mann som sier det han ønsker si	og gyllent hovmod i det brune blikk 	0
Våkn, mitt folk! Til kamp skal ringes.	Å, Gamaliel, du svake,	0
og skimte dagen i vårt dunkle nord	la meg atter heve tåkens flor	1
vår histories gråt;	men aldri dåd!	1
Men det man ikke vant ved lykkens terning,	kan ene fylle samfunnslivets revne.	0
det blikk som er lukket for vinning og glans,	Kun derved skal seierens krone bli hans.	1
Der sveiver han hjulet får låten i lag,	mens ørene døves i skrattet !	0
Da klinger lurer, da er det en støy	med stigende angst i de dirrende hytter.	0
har huldra makt og herredom;	skal også, Eivind, være ditt.»	0
Er det kongens vei til tronen?	vise dem, det m å så skje.	0
hvor Berger huserte i hundrede år	langs gatene vrimler de velstelte hjem	0
med hjertet så ungt og i bitter forhærden,	høyt over verden og vårdagens brus	0
hvit og stor, 	med skar og kløfter,	0
gjennom skyens mulm, og fanger	i sin redsel hvert et øye.	0
vet ei hvorhen den er fordrevet,	Nå er den ganske jordisk blevet,	1
Selv har dere valgt. Guds dom er rettferdig.	Til riket dere akter dere selv ei verdig,	1
og grenene var bolig for alt som kunne fly,	og løvet var et himmerik for duften.	0
i ditt fang,	de siste pulsslag banker,	0
Men lenger mot syd i den gyngende sjø,	som før var forvisningens ende.	0
nei — med skjenk og store gaver	for mitt ansikt du skal komme	0
sin lo han renser. Hveten vil	i laden samles. Men med ild	1
en ørkenkulde sved med stenhard tørke	det stumme land; og dødens sorte fugle	0
